Estado,Oficina,Sorteo,Total Ventas,Fecha
Tamaulipas,Matamoros,AVENTURATE 4,1030,04/12/15
Tamaulipas,Nuevo Laredo,AVENTURATE 4,611,04/12/15
Coahuila de Zaragoza,Piedras Negras,AVENTURATE 4,814,04/12/15
Coahuila de Zaragoza,MONCLOVA,AVENTURATE 4,533,04/12/15
Durango,Durango,AVENTURATE 4,1530,04/12/15
Zacatecas,Zacatecas,AVENTURATE 4,1955,04/12/15
Tamaulipas,CIUDAD VICTORIA,AVENTURATE 4,1739,04/12/15
Tamaulipas,Tampico,AVENTURATE 4,3650,04/12/15
Nuevo Le¢n,Monterrey,AVENTURATE 4,15441,04/12/15
Tamaulipas,Reynosa,AVENTURATE 4,1189,04/12/15
Coahuila de Zaragoza,SALTILLO,AVENTURATE 4,1527,04/12/15
Coahuila de Zaragoza,TORRE‡N,AVENTURATE 4,1776,04/12/15
Sinaloa,CULIACµN,AVENTURATE 4,1750,04/12/15
Sinaloa,Los Mochis,AVENTURATE 4,820,04/12/15
Sonora,Hermosillo,AVENTURATE 4,1812,04/12/15
Sonora,CIUDAD OBREG‡N,AVENTURATE 4,1481,04/12/15
Sonora,Nogales,AVENTURATE 4,624,04/12/15
Sinaloa,MAZATLµN,AVENTURATE 4,1060,04/12/15
Baja California,Mexicali,AVENTURATE 4,1248,04/12/15
Baja California,Ensenada,AVENTURATE 4,250,04/12/15
Baja California Sur,La Paz,AVENTURATE 4,953,04/12/15
Chihuahua,Chihuahua,AVENTURATE 4,2961,04/12/15
Veracruz de Ignacio de la Llave ,Coatzacoalcos,AVENTURATE 4,438,04/12/15
Chiapas,Chiapas,AVENTURATE 4,389,04/12/15
Tabasco,Villahermosa,AVENTURATE 4,748,04/12/15
Oaxaca,Oaxaca,AVENTURATE 4,404,04/12/15
Puebla,Puebla,AVENTURATE 4,1422,04/12/15
Hidalgo,Hidalgo,AVENTURATE 4,1042,04/12/15
QuerÇtaro,QUERêTARO,AVENTURATE 4,1195,04/12/15
QuerÇtaro,Celaya,AVENTURATE 4,984,04/12/15
San Luis Potos°,SAN LUIS POTOS÷,AVENTURATE 4,1830,04/12/15
Michoac†n de Ocampo,Morelia,AVENTURATE 4,473,04/12/15
Michoac†n de Ocampo,Zamora,AVENTURATE 4,318,04/12/15
Michoac†n de Ocampo,Uruapan,AVENTURATE 4,326,04/12/15
Guanajuato,Irapuato,AVENTURATE 4,544,04/12/15
Veracruz de Ignacio de la Llave ,C‡RDOBA,AVENTURATE 4,814,04/12/15
Veracruz de Ignacio de la Llave ,Veracruz,AVENTURATE 4,452,04/12/15
Tabasco,XALAPA,AVENTURATE 4,908,04/12/15
Yucat†n,MêRIDA,AVENTURATE 4,821,04/12/15
Quintana Roo,CANCÈN,AVENTURATE 4,661,04/12/15
Jalisco,GUADALAJARA,AVENTURATE 4,7227,04/12/15
Colima,Colima,AVENTURATE 4,987,04/12/15
Colima,Manzanillo,AVENTURATE 4,738,04/12/15
Nayarit,Tepic,AVENTURATE 4,1344,04/12/15
Aguascalientes,Aguascalientes,AVENTURATE 4,553,04/12/15
Guanajuato,LE‡N,AVENTURATE 4,1417,04/12/15
MÇxico,Toluca,AVENTURATE 4,1182,04/12/15
Guerrero,Guerrero,AVENTURATE 4,782,04/12/15
Morelos,Morelos,AVENTURATE 4,640,04/12/15
MÇxico,MêXICO,AVENTURATE 4,6312,04/12/15
,OFICINA VIRTUAL,AVENTURATE 4,4546,04/12/15
Tamaulipas,Matamoros,AVENTURATE 5,1297,21/04/16
Tamaulipas,Nuevo Laredo,AVENTURATE 5,951,21/04/16
Coahuila de Zaragoza,Piedras Negras,AVENTURATE 5,1326,21/04/16
Coahuila de Zaragoza,MONCLOVA,AVENTURATE 5,897,21/04/16
Durango,Durango,AVENTURATE 5,1915,21/04/16
Zacatecas,Zacatecas,AVENTURATE 5,2352,21/04/16
Tamaulipas,CIUDAD VICTORIA,AVENTURATE 5,2334,21/04/16
Tamaulipas,Tampico,AVENTURATE 5,4924,21/04/16
Nuevo Le¢n,Monterrey,AVENTURATE 5,16500,21/04/16
Tamaulipas,Reynosa,AVENTURATE 5,2650,21/04/16
Coahuila de Zaragoza,SALTILLO,AVENTURATE 5,2329,21/04/16
Coahuila de Zaragoza,TORRE‡N,AVENTURATE 5,2781,21/04/16
Sinaloa,CULIACµN,AVENTURATE 5,1933,21/04/16
Sinaloa,Los Mochis,AVENTURATE 5,688,21/04/16
Sonora,Hermosillo,AVENTURATE 5,1934,21/04/16
Sonora,CIUDAD OBREG‡N,AVENTURATE 5,2271,21/04/16
Sonora,Nogales,AVENTURATE 5,803,21/04/16
Sinaloa,MAZATLµN,AVENTURATE 5,1344,21/04/16
Baja California,Mexicali,AVENTURATE 5,1379,21/04/16
Baja California,Ensenada,AVENTURATE 5,199,21/04/16
Baja California Sur,La Paz,AVENTURATE 5,1416,21/04/16
Chihuahua,Chihuahua,AVENTURATE 5,4161,21/04/16
Veracruz de Ignacio de la Llave ,Coatzacoalcos,AVENTURATE 5,710,21/04/16
Chiapas,Chiapas,AVENTURATE 5,386,21/04/16
Tabasco,Villahermosa,AVENTURATE 5,951,21/04/16
Oaxaca,Oaxaca,AVENTURATE 5,436,21/04/16
Puebla,Puebla,AVENTURATE 5,1732,21/04/16
Hidalgo,Hidalgo,AVENTURATE 5,1036,21/04/16
QuerÇtaro,QUERêTARO,AVENTURATE 5,1724,21/04/16
QuerÇtaro,Celaya,AVENTURATE 5,1039,21/04/16
San Luis Potos°,SAN LUIS POTOS÷,AVENTURATE 5,2314,21/04/16
Michoac†n de Ocampo,Morelia,AVENTURATE 5,758,21/04/16
Michoac†n de Ocampo,Zamora,AVENTURATE 5,469,21/04/16
Michoac†n de Ocampo,Uruapan,AVENTURATE 5,413,21/04/16
Guanajuato,Irapuato,AVENTURATE 5,665,21/04/16
Veracruz de Ignacio de la Llave ,C‡RDOBA,AVENTURATE 5,1011,21/04/16
Veracruz de Ignacio de la Llave ,Veracruz,AVENTURATE 5,624,21/04/16
Tabasco,XALAPA,AVENTURATE 5,1188,21/04/16
Yucat†n,MêRIDA,AVENTURATE 5,959,21/04/16
Quintana Roo,CANCÈN,AVENTURATE 5,865,21/04/16
Jalisco,GUADALAJARA,AVENTURATE 5,8263,21/04/16
Colima,Colima,AVENTURATE 5,1142,21/04/16
Colima,Manzanillo,AVENTURATE 5,851,21/04/16
Nayarit,Tepic,AVENTURATE 5,1309,21/04/16
Aguascalientes,Aguascalientes,AVENTURATE 5,863,21/04/16
Guanajuato,LE‡N,AVENTURATE 5,1641,21/04/16
MÇxico,Toluca,AVENTURATE 5,1290,21/04/16
Guerrero,Guerrero,AVENTURATE 5,946,21/04/16
Morelos,Morelos,AVENTURATE 5,789,21/04/16
MÇxico,MêXICO,AVENTURATE 5,8942,21/04/16
,OFICINA VIRTUAL,AVENTURATE 5,10316,21/04/16
Tamaulipas,Matamoros,EDUCATIVO 20,4029,22/08/15
Tamaulipas,Nuevo Laredo,EDUCATIVO 20,2767,22/08/15
Coahuila de Zaragoza,Piedras Negras,EDUCATIVO 20,4752,22/08/15
Coahuila de Zaragoza,MONCLOVA,EDUCATIVO 20,5617,22/08/15
Durango,Durango,EDUCATIVO 20,5103,22/08/15
Zacatecas,Zacatecas,EDUCATIVO 20,4623,22/08/15
Tamaulipas,CIUDAD VICTORIA,EDUCATIVO 20,9335,22/08/15
Tamaulipas,Tampico,EDUCATIVO 20,17748,22/08/15
Nuevo Le¢n,Monterrey,EDUCATIVO 20,160425,22/08/15
Tamaulipas,Reynosa,EDUCATIVO 20,9330,22/08/15
Coahuila de Zaragoza,SALTILLO,EDUCATIVO 20,8265,22/08/15
Coahuila de Zaragoza,TORRE‡N,EDUCATIVO 20,6577,22/08/15
Sinaloa,CULIACµN,EDUCATIVO 20,10771,22/08/15
Sinaloa,Los Mochis,EDUCATIVO 20,4819,22/08/15
Sonora,Hermosillo,EDUCATIVO 20,10097,22/08/15
Sonora,CIUDAD OBREG‡N,EDUCATIVO 20,8228,22/08/15
Sonora,Nogales,EDUCATIVO 20,3799,22/08/15
Sinaloa,MAZATLµN,EDUCATIVO 20,5220,22/08/15
Baja California,Mexicali,EDUCATIVO 20,5868,22/08/15
Baja California,Ensenada,EDUCATIVO 20,1080,22/08/15
Baja California Sur,La Paz,EDUCATIVO 20,7023,22/08/15
Chihuahua,Chihuahua,EDUCATIVO 20,13581,22/08/15
Veracruz de Ignacio de la Llave ,Coatzacoalcos,EDUCATIVO 20,2270,22/08/15
Chiapas,Chiapas,EDUCATIVO 20,2823,22/08/15
Tabasco,Villahermosa,EDUCATIVO 20,4957,22/08/15
Oaxaca,Oaxaca,EDUCATIVO 20,1749,22/08/15
Puebla,Puebla,EDUCATIVO 20,4104,22/08/15
Hidalgo,Hidalgo,EDUCATIVO 20,4083,22/08/15
QuerÇtaro,QUERêTARO,EDUCATIVO 20,7018,22/08/15
QuerÇtaro,Celaya,EDUCATIVO 20,3449,22/08/15
San Luis Potos°,SAN LUIS POTOS÷,EDUCATIVO 20,5104,22/08/15
Michoac†n de Ocampo,Morelia,EDUCATIVO 20,3055,22/08/15
Michoac†n de Ocampo,Zamora,EDUCATIVO 20,3106,22/08/15
Michoac†n de Ocampo,Uruapan,EDUCATIVO 20,2273,22/08/15
Guanajuato,Irapuato,EDUCATIVO 20,3176,22/08/15
Veracruz de Ignacio de la Llave ,C‡RDOBA,EDUCATIVO 20,3607,22/08/15
Veracruz de Ignacio de la Llave ,Veracruz,EDUCATIVO 20,3750,22/08/15
Tabasco,XALAPA,EDUCATIVO 20,3186,22/08/15
Yucat†n,MêRIDA,EDUCATIVO 20,3033,22/08/15
Quintana Roo,CANCÈN,EDUCATIVO 20,1667,22/08/15
Jalisco,GUADALAJARA,EDUCATIVO 20,49870,22/08/15
Colima,Colima,EDUCATIVO 20,5157,22/08/15
Colima,Manzanillo,EDUCATIVO 20,2729,22/08/15
Nayarit,Tepic,EDUCATIVO 20,4650,22/08/15
Aguascalientes,Aguascalientes,EDUCATIVO 20,2927,22/08/15
Guanajuato,LE‡N,EDUCATIVO 20,4897,22/08/15
MÇxico,Toluca,EDUCATIVO 20,4701,22/08/15
Guerrero,Guerrero,EDUCATIVO 20,2240,22/08/15
Morelos,Morelos,EDUCATIVO 20,2313,22/08/15
MÇxico,MêXICO,EDUCATIVO 20,14151,22/08/15
,OFICINA VIRTUAL,EDUCATIVO 20,14037,22/08/15
Tamaulipas,Matamoros,EDUCATIVO 21,4235,21/11/15
Tamaulipas,Nuevo Laredo,EDUCATIVO 21,2722,21/11/15
Coahuila de Zaragoza,Piedras Negras,EDUCATIVO 21,5005,21/11/15
Coahuila de Zaragoza,MONCLOVA,EDUCATIVO 21,5510,21/11/15
Durango,Durango,EDUCATIVO 21,5006,21/11/15
Zacatecas,Zacatecas,EDUCATIVO 21,4385,21/11/15
Tamaulipas,CIUDAD VICTORIA,EDUCATIVO 21,9098,21/11/15
Tamaulipas,Tampico,EDUCATIVO 21,17100,21/11/15
Nuevo Le¢n,Monterrey,EDUCATIVO 21,161189,21/11/15
Tamaulipas,Reynosa,EDUCATIVO 21,9408,21/11/15
Coahuila de Zaragoza,SALTILLO,EDUCATIVO 21,8932,21/11/15
Coahuila de Zaragoza,TORRE‡N,EDUCATIVO 21,7042,21/11/15
Sinaloa,CULIACµN,EDUCATIVO 21,10484,21/11/15
Sinaloa,Los Mochis,EDUCATIVO 21,4799,21/11/15
Sonora,Hermosillo,EDUCATIVO 21,9704,21/11/15
Sonora,CIUDAD OBREG‡N,EDUCATIVO 21,8679,21/11/15
Sonora,Nogales,EDUCATIVO 21,3377,21/11/15
Sinaloa,MAZATLµN,EDUCATIVO 21,5020,21/11/15
Baja California,Mexicali,EDUCATIVO 21,5674,21/11/15
Baja California,Ensenada,EDUCATIVO 21,1150,21/11/15
Baja California Sur,La Paz,EDUCATIVO 21,6902,21/11/15
Chihuahua,Chihuahua,EDUCATIVO 21,14719,21/11/15
Veracruz de Ignacio de la Llave ,Coatzacoalcos,EDUCATIVO 21,2473,21/11/15
Chiapas,Chiapas,EDUCATIVO 21,2862,21/11/15
Tabasco,Villahermosa,EDUCATIVO 21,4944,21/11/15
Oaxaca,Oaxaca,EDUCATIVO 21,2128,21/11/15
Puebla,Puebla,EDUCATIVO 21,4009,21/11/15
Hidalgo,Hidalgo,EDUCATIVO 21,3575,21/11/15
QuerÇtaro,QUERêTARO,EDUCATIVO 21,7129,21/11/15
QuerÇtaro,Celaya,EDUCATIVO 21,3449,21/11/15
San Luis Potos°,SAN LUIS POTOS÷,EDUCATIVO 21,5358,21/11/15
Michoac†n de Ocampo,Morelia,EDUCATIVO 21,3096,21/11/15
Michoac†n de Ocampo,Zamora,EDUCATIVO 21,3026,21/11/15
Michoac†n de Ocampo,Uruapan,EDUCATIVO 21,2110,21/11/15
Guanajuato,Irapuato,EDUCATIVO 21,3091,21/11/15
Veracruz de Ignacio de la Llave ,C‡RDOBA,EDUCATIVO 21,3319,21/11/15
Veracruz de Ignacio de la Llave ,Veracruz,EDUCATIVO 21,3888,21/11/15
Tabasco,XALAPA,EDUCATIVO 21,3194,21/11/15
Yucat†n,MêRIDA,EDUCATIVO 21,3183,21/11/15
Quintana Roo,CANCÈN,EDUCATIVO 21,1632,21/11/15
Jalisco,GUADALAJARA,EDUCATIVO 21,51945,21/11/15
Colima,Colima,EDUCATIVO 21,5099,21/11/15
Colima,Manzanillo,EDUCATIVO 21,2540,21/11/15
Nayarit,Tepic,EDUCATIVO 21,4848,21/11/15
Aguascalientes,Aguascalientes,EDUCATIVO 21,3001,21/11/15
Guanajuato,LE‡N,EDUCATIVO 21,4999,21/11/15
MÇxico,Toluca,EDUCATIVO 21,4707,21/11/15
Guerrero,Guerrero,EDUCATIVO 21,1990,21/11/15
Morelos,Morelos,EDUCATIVO 21,2270,21/11/15
MÇxico,MêXICO,EDUCATIVO 21,13163,21/11/15
,OFICINA VIRTUAL,EDUCATIVO 21,12832,21/11/15
Tamaulipas,Matamoros,EDUCATIVO 22,4504,20/02/16
Tamaulipas,Nuevo Laredo,EDUCATIVO 22,2680,20/02/16
Coahuila de Zaragoza,Piedras Negras,EDUCATIVO 22,5200,20/02/16
Coahuila de Zaragoza,MONCLOVA,EDUCATIVO 22,5611,20/02/16
Durango,Durango,EDUCATIVO 22,5061,20/02/16
Zacatecas,Zacatecas,EDUCATIVO 22,4818,20/02/16
Tamaulipas,CIUDAD VICTORIA,EDUCATIVO 22,9629,20/02/16
Tamaulipas,Tampico,EDUCATIVO 22,16882,20/02/16
Nuevo Le¢n,Monterrey,EDUCATIVO 22,166344,20/02/16
Tamaulipas,Reynosa,EDUCATIVO 22,9489,20/02/16
Coahuila de Zaragoza,SALTILLO,EDUCATIVO 22,9006,20/02/16
Coahuila de Zaragoza,TORRE‡N,EDUCATIVO 22,7308,20/02/16
Sinaloa,CULIACµN,EDUCATIVO 22,11937,20/02/16
Sinaloa,Los Mochis,EDUCATIVO 22,4321,20/02/16
Sonora,Hermosillo,EDUCATIVO 22,9787,20/02/16
Sonora,CIUDAD OBREG‡N,EDUCATIVO 22,8330,20/02/16
Sonora,Nogales,EDUCATIVO 22,3147,20/02/16
Sinaloa,MAZATLµN,EDUCATIVO 22,4682,20/02/16
Baja California,Mexicali,EDUCATIVO 22,5276,20/02/16
Baja California,Ensenada,EDUCATIVO 22,1151,20/02/16
Baja California Sur,La Paz,EDUCATIVO 22,6400,20/02/16
Chihuahua,Chihuahua,EDUCATIVO 22,14644,20/02/16
Veracruz de Ignacio de la Llave ,Coatzacoalcos,EDUCATIVO 22,2448,20/02/16
Chiapas,Chiapas,EDUCATIVO 22,2952,20/02/16
Tabasco,Villahermosa,EDUCATIVO 22,4584,20/02/16
Oaxaca,Oaxaca,EDUCATIVO 22,2159,20/02/16
Puebla,Puebla,EDUCATIVO 22,4487,20/02/16
Hidalgo,Hidalgo,EDUCATIVO 22,3624,20/02/16
QuerÇtaro,QUERêTARO,EDUCATIVO 22,7246,20/02/16
QuerÇtaro,Celaya,EDUCATIVO 22,3540,20/02/16
San Luis Potos°,SAN LUIS POTOS÷,EDUCATIVO 22,5750,20/02/16
Michoac†n de Ocampo,Morelia,EDUCATIVO 22,3344,20/02/16
Michoac†n de Ocampo,Zamora,EDUCATIVO 22,3091,20/02/16
Michoac†n de Ocampo,Uruapan,EDUCATIVO 22,2100,20/02/16
Guanajuato,Irapuato,EDUCATIVO 22,3234,20/02/16
Veracruz de Ignacio de la Llave ,C‡RDOBA,EDUCATIVO 22,3591,20/02/16
Veracruz de Ignacio de la Llave ,Veracruz,EDUCATIVO 22,3922,20/02/16
Tabasco,XALAPA,EDUCATIVO 22,3009,20/02/16
Yucat†n,MêRIDA,EDUCATIVO 22,3263,20/02/16
Quintana Roo,CANCÈN,EDUCATIVO 22,1899,20/02/16
Jalisco,GUADALAJARA,EDUCATIVO 22,50362,20/02/16
Colima,Colima,EDUCATIVO 22,5283,20/02/16
Colima,Manzanillo,EDUCATIVO 22,2550,20/02/16
Nayarit,Tepic,EDUCATIVO 22,5121,20/02/16
Aguascalientes,Aguascalientes,EDUCATIVO 22,3507,20/02/16
Guanajuato,LE‡N,EDUCATIVO 22,5460,20/02/16
MÇxico,Toluca,EDUCATIVO 22,4902,20/02/16
Guerrero,Guerrero,EDUCATIVO 22,2386,20/02/16
Morelos,Morelos,EDUCATIVO 22,2268,20/02/16
MÇxico,MêXICO,EDUCATIVO 22,16935,20/02/16
,OFICINA VIRTUAL,EDUCATIVO 22,18371,20/02/16
Tamaulipas,Matamoros,EDUCATIVO 23,4694,21/05/16
Tamaulipas,Nuevo Laredo,EDUCATIVO 23,2645,21/05/16
Coahuila de Zaragoza,Piedras Negras,EDUCATIVO 23,5122,21/05/16
Coahuila de Zaragoza,MONCLOVA,EDUCATIVO 23,6221,21/05/16
Durango,Durango,EDUCATIVO 23,4808,21/05/16
Zacatecas,Zacatecas,EDUCATIVO 23,4898,21/05/16
Tamaulipas,CIUDAD VICTORIA,EDUCATIVO 23,9537,21/05/16
Tamaulipas,Tampico,EDUCATIVO 23,16324,21/05/16
Nuevo Le¢n,Monterrey,EDUCATIVO 23,168649,21/05/16
Tamaulipas,Reynosa,EDUCATIVO 23,8786,21/05/16
Coahuila de Zaragoza,SALTILLO,EDUCATIVO 23,8779,21/05/16
Coahuila de Zaragoza,TORRE‡N,EDUCATIVO 23,6570,21/05/16
Sinaloa,CULIACµN,EDUCATIVO 23,11595,21/05/16
Sinaloa,Los Mochis,EDUCATIVO 23,4708,21/05/16
Sonora,Hermosillo,EDUCATIVO 23,11850,21/05/16
Sonora,CIUDAD OBREG‡N,EDUCATIVO 23,8509,21/05/16
Sonora,Nogales,EDUCATIVO 23,3609,21/05/16
Sinaloa,MAZATLµN,EDUCATIVO 23,5165,21/05/16
Baja California,Mexicali,EDUCATIVO 23,5869,21/05/16
Baja California,Ensenada,EDUCATIVO 23,1025,21/05/16
Baja California Sur,La Paz,EDUCATIVO 23,7309,21/05/16
Chihuahua,Chihuahua,EDUCATIVO 23,16262,21/05/16
Veracruz de Ignacio de la Llave ,Coatzacoalcos,EDUCATIVO 23,2512,21/05/16
Chiapas,Chiapas,EDUCATIVO 23,2713,21/05/16
Tabasco,Villahermosa,EDUCATIVO 23,4383,21/05/16
Oaxaca,Oaxaca,EDUCATIVO 23,2297,21/05/16
Puebla,Puebla,EDUCATIVO 23,4934,21/05/16
Hidalgo,Hidalgo,EDUCATIVO 23,3627,21/05/16
QuerÇtaro,QUERêTARO,EDUCATIVO 23,7780,21/05/16
QuerÇtaro,Celaya,EDUCATIVO 23,3524,21/05/16
San Luis Potos°,SAN LUIS POTOS÷,EDUCATIVO 23,6224,21/05/16
Michoac†n de Ocampo,Morelia,EDUCATIVO 23,3550,21/05/16
Michoac†n de Ocampo,Zamora,EDUCATIVO 23,3469,21/05/16
Michoac†n de Ocampo,Uruapan,EDUCATIVO 23,2133,21/05/16
Guanajuato,Irapuato,EDUCATIVO 23,3596,21/05/16
Veracruz de Ignacio de la Llave ,C‡RDOBA,EDUCATIVO 23,3548,21/05/16
Veracruz de Ignacio de la Llave ,Veracruz,EDUCATIVO 23,4422,21/05/16
Tabasco,XALAPA,EDUCATIVO 23,3169,21/05/16
Yucat†n,MêRIDA,EDUCATIVO 23,3597,21/05/16
Quintana Roo,CANCÈN,EDUCATIVO 23,1709,21/05/16
