ID,Estado,2010,2011,2012,2013,2014,2015,2016,2017,2018
01,Aguascalientes,126840.1893,124699.946,115899.8263,120651.7795,123488.9246,127771.6915,130670.928,143359.7982,147605.6867
02,Baja California,146298.2672,143560.2548,126654.8063,131682.0479,134211.556,137532.1636,135858.3736,133819.4114,138685.249
03,Baja California Sur,166711.2896,167133.2979,162420.3796,162246.1724,164566.8412,164804.8506,152438.0839,144103.7994,154932.2139
04,Campeche,1152150.115,1034957.251,914838.9735,867692.74,821434.5869,794268.7439,786020.2957,735169.5332,670734.8556
05,Coahuila de Zaragoza,182098.7833,178631.2239,148826.351,170577.8835,179573.4762,185978.8867,179735.2386,186496.4104,186708.9858
06,Colima,119169.586,119141.0733,113283.7009,119354.5766,125797.5895,127300.1033,125478.5902,125622.7711,124928.2654
07,Chiapas,52649.24259,52919.0864,51700.42556,53667.8766,54434.36886,54568.54069,53007.71559,54846.78375,53166.33061
08,Chihuahua,127595.5925,128268.465,115701.1925,119488.8567,121203.3745,129103.5193,130609.1702,130287.6494,134622.6849
09,Distrito Federal,272121.127,276424.5081,266105.8099,275192.7538,284533.129,295328.75,301262.9209,309259.4736,323020.5382
10,Durango,99642.60772,99995.8903,96977.66079,99217.76339,101893.049,104255.6712,106418.5354,107626.4883,107137.0643
11,Guanajuato,89080.65366,90474.73602,85505.0182,90623.95021,94834.3747,97532.19848,100933.1635,104759.9722,110850.2075
12,Guerrero,60458.49996,60943.61073,58388.43541,60967.66158,61203.33434,61733.08406,61374.78484,63668.59301,63936.15872
13,Hidalgo,75667.56322,77228.02114,71318.69098,74182.63483,76096.70819,77945.77413,79585.03141,81484.57098,84801.3915
14,Jalisco,124225.1854,123306.5341,115299.3852,121008.3914,123050.3494,126871.5828,127788.9686,131174.1934,134710.2517
15,M_xico,78062.01901,77911.81526,73086.45445,77730.51472,80289.48502,82779.03758,81840.48155,81840.91633,81425.15221
16,Michoac_n de Ocampo,75446.88542,76097.98369,71326.2276,73426.8778,75648.30077,76787.56982,77782.68448,82259.75811,83416.91287
17,Morelos,95275.03352,94129.47802,92101.30576,94424.02384,92988.35631,92297.94187,94175.21712,93762.68799,93512.0014
18,Nayarit,84494.97732,89017.83673,82818.12724,85580.50539,86676.75759,85347.96833,84963.7543,86838.92102,88583.27859
19,Nuevo Le_n,215890.3166,214964.8848,196849.196,207818.0557,212843.1201,217563.6089,216897.9996,221175.7133,229133.2656
20,Oaxaca,57816.29669,59093.89219,58038.10494,58461.63783,59713.73244,60404.95866,61240.29494,61862.09539,63671.9805
21,Puebla,80593.85875,80061.16576,72880.51155,78155.23203,80996.1215,84979.08908,83188.12091,83025.37592,84445.64847
22,Quer_taro,148594.8646,148847.5041,141368.0471,147069.626,154720.0064,156151.2678,155416.7024,166222.7488,176112.2595
23,Quintana Roo,145524.882,149193.372,133005.3892,136356.3002,140520.144,143656.9859,143008.3519,141705.7489,142524.2511
24,San Luis Potos_,102229.2751,103379.111,96968.69262,101090.9606,105478.9356,109386.9211,111724.819,112888.315,116587.1182
25,Sinaloa,110422.3006,112692.3742,106444.1457,108301.4437,108918.765,111313.4374,111377.6245,112498.2834,118022.5789
26,Sonora,163530.7469,161744.1118,149901.8385,155485.5412,167632.5641,173988.9876,174712.5898,173522.6799,175538.1016
27,Tabasco,202840.3933,209346.2809,215508.8406,225075.4208,232557.3194,235465.4549,229041.9143,230758.48,227180.2881
28,Tamaulipas,141961.189,146328.7657,131744.8004,132905.2742,134064.9421,135506.1722,134498.3981,133099.5809,133598.1853
29,Tlaxcala,67541.79117,69924.83609,67491.95195,72104.52271,68700.91613,70643.6838,67767.90068,68863.04673,72377.19134
30,Veracruz de Ignacio de la Llave,92318.54876,91031.26716,87982.19568,90620.62236,93135.17881,96114.63216,95826.16375,96501.33859,97609.88017
31,Yucat_n,97780.38656,97363.25119,94107.90848,96126.70407,98070.58048,102376.1007,101126.2446,102782.1698,105210.7453
32,Zacatecas,77773.95034,83787.83555,85520.82703,93750.00243,92780.53908,94179.19984,92297.88047,97979.77609,98592.69721
33,Nacional,0,0,0,0,0,0,0,0,0
