Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,43890.462999999996,46188.79,43863.75300000001,44440.38100000001,43716.195,40922.049000000006,37979.893,39347.501000000004,37933.25200000001,38476.356,37914.043999999994,38163.384,40329.67199999999,40643.805,38682.698000000004,39960.13200000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,1175.291,1102.253,1187.158,1093.276,1058.711,914.125,778.356,866.482,642.629,689.802,833.2819999999999,769.686,833.77,901.2170000000001,891.5039999999999,865.441
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,325.258,373.128,411.308,456.812,469.47799999999995,597.149,564.575,579.879,572.341,663.847,697.725,802.583,877.8820000000001,974.3299999999999,901.164,937.6210000000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,8.875,7.646,6.76,7.7010000000000005,9.395000000000001,9.157,9.072000000000001,9.922,9.770000000000001,9.597,9.379,9.572,11.036999999999999,12.343,10.397,11.508
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,18.619,25.005000000000003,20.067,28.116,27.610999999999997,21.565,13.097,14.322,14.429,17.863,15.081,16.634,16.211,14.026,12.645000000000001,14.07
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,1812.681,1936.461,1685.958,1693.8120000000001,1783.104,1819.554,1393.789,1558.759,1624.585,1779.371,1765.708,1843.19,1909.009,1973.1999999999998,1862.1589999999999,2034.605
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,21.836,23.761,22.853,21.877,21.447,20.86,21.884,23.464000000000002,22.236,21.078,20.081999999999997,22.153,29.118000000000002,29.873,30.489,28.637999999999998
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,106.209,106.049,96.076,100.088,110.25,109.033,94.504,109.301,95.50800000000001,90.48100000000001,77.5,81.49100000000001,90.327,113.343,103.946,105.74199999999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,582.767,632.519,662.958,649.5889999999999,635.089,1028.059,903.293,1030.7740000000001,907.297,970.656,1221.9189999999999,1291.274,1211.524,1148.096,1113.0659999999998,1112.177
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,2990.7349999999997,3648.523,3442.6000000000004,3361.318,3109.681,2384.968,2323.48,2655.518,2538.175,2285.6440000000002,2184.232,2068.7740000000003,2118.676,2182.7200000000003,1668.838,1649.547
