Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,135304.12900000002,156576.47100000002,178670.98999999996,201033.53800000006,237560.41800000003,250100.64600000004,266072.4660000001,266147.973,277044.003,311159.7919999999,324690.76200000005,339236.94400000013,396564.731,473926.664,512710.9380000001,540251.026
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,504.954,593.926,695.502,826.63,932.109,960.414,1120.044,1157.399,1201.63,1474.595,1520.942,1606.164,2004.05,2570.366,2664.573,2989.63
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,1649.15,1889.036,2229.499,2734.951,3263.998,3388.415,3711.928,3735.114,3800.152,5003.998,5350.541,5423.658,6865.17,8736.854,9654.765,10326.087
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,363.284,394.76,441.538,517.328,638.747,753.697,853.375,899.878,905.492,1018.435,1122.745,1205.714,1339.106,1603.679,1797.152,1886.72
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,562.964,625.38,690.377,755.055,838.414,899.878,902.765,946.563,1000.111,1144.247,1193.979,1249.755,1328.493,1461.674,1591.688,1690.804
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,1266.235,1410.292,1588.308,1794.653,2148.208,2291.294,2432.244,2426.084,2498.873,2984.306,3146.168,3206.192,3600.651,4553.017,4805.96,5168.489
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,256.592,283.269,328.894,407.333,503.925,555.26,604.019,643.779,688.512,890.234,971.931,1059.992,1149.195,1445.13,1586.506,1740.83
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,561.694,646.642,758.852,929.253,1155.715,1261.973,1370.235,1452.189,1558.524,2004.599,2158.226,2277.145,2546.062,3165.646,3285.016,3778.532
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,1790.215,2076.074,2428.192,3169.821,3731.705,3978.128,4154.275,4425.539,4529.185,5831.322,6266.703,6533.425,7514.875,9489.558,10472.56,10886.043
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,90851.649,105021.096,119188.768,131899.574,154830.424,162240.264,170372.242,169034.201,175303.614,188377.585,193900.17,202415.363,240644.81,279766.422,302710.749,312678.69
