Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Millones de pesos|B.1bP---Producto interno bruto<C1>,13061718.521,13573815.057,13887072.52,14511307.247,14843825.975,15013577.681,14219998.379,14947794.696,15495333.601,16059723.651,16277187.078,16733654.767,17283855.93,17786910.587,18163652.487,18551620.027
"Valores constantes|Millones de pesos|D.21-D.31---Impuestos sobre los productos, netos",502613.351,523127.863,539350.648,579923.499,589361.736,610821.055,571451.401,595394.031,619537.009,628731.148,634567.233,673025.177,712586.01,764165.535,793124.179,812183.262
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,12559105.155999998,13050687.196999999,13347721.874000004,13931383.746000003,14254464.21,14402756.617,13648546.979,14352400.662999999,14875796.602999998,15430992.520999998,15642619.842000002,16060629.582000002,16571269.907999998,17022745.07,17370528.303,17739436.758
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,121197.63399999999,126554.147,129628.02800000002,138111.823,150305.117,150949.983,143253.947,152205.212,158934.494,167705.967,172820.491,191038.59100000001,198175.39500000002,216221.10599999997,224991.631,232547.255
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,399514.62399999995,423005.49899999995,433008.16599999997,456019.296,461581.2740000001,457556.565,407745.948,428162.546,440700.662,456024.47200000007,465524.69499999995,473362.34799999994,505937.657,528019.778,545081.869,557853.091
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,76047.59300000001,81546.00899999999,87397.67000000001,93655.622,106199.426,108975.35599999999,108338.81099999999,110656.4,114707.76200000002,117345.83299999998,115027.644,114871.33499999999,130096.58,134227.782,148655.84699999998,174246.239
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,1047511.322,1059561.025,1038533.775,1014280.3500000001,947575.4930000001,867231.044,780757.429,753968.591,726503.856,714787.0650000002,721085.0629999998,687268.5819999999,638740.803,601066.487,537722.196,528896.04
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,436573.518,449143.882,458867.90699999995,480488.194,500478.657,498326.775,421327.48899999994,489951.77599999995,523207.11199999996,549551.802,538206.987,565824.8250000001,573850.0680000001,582858.427,613737.7749999999,621735.1399999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,67732.93,67794.051,68258.171,72533.785,77526.37,78953.717,76446.9,81992.17799999999,87944.96900000001,90540.289,91422.446,93707.678,95357.74499999998,101200.627,105464.29000000001,108110.288
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,248123.22699999996,238375.89,240279.55899999998,248414.30200000003,252536.304,258289.89,256698.36200000002,270989.331,279446.584,284733.625,280925.273,295158.113,290463.61400000006,290645.76399999997,282833.403,276850.552
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,360426.663,376662.637,389210.79399999994,419631.539,434649.92,440792.887,401079.179,417796.42,427430.02700000006,459166.22,476290.197,486857.75899999996,515187.55299999996,540446.937,558439.5959999999,567395.31
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,2132929.372,2226949.736,2258091.583,2374722.886,2408565.8649999998,2450391.202,2362516.439,2446910.4390000002,2533806.8929999997,2633934.6419999995,2673066.3310000002,2729859.454,2836540.252,2961597.62,3046955.9250000003,3129179.877
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Durango<C1>,152922.727,157662.281,155001.88600000003,160388.081,162709.802,165722.989,163083.647,169268.08399999997,176314.713,182943.05599999998,189052.81199999998,193539.47600000002,194989.457,202282.368,199507.56,201196.05
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guanajuato<C1>,438354.387,450953.1550000001,454625.559,477646.929,488729.60399999993,503024.423,481674.90599999996,517168.681,548163.1699999999,570921.987,594575.5319999999,621005.836,661221.4879999999,689277.314,721583.5819999999,729919.389
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guerrero<C1>,182713.98099999997,192557.837,195219.88900000002,199540.65000000002,204879.83,208284.821,201239.316,211890.53500000003,214478.174,218118.48099999997,218811.37799999997,229021.25599999996,232024.32,236941.18299999996,235931.00699999998,242952.94200000004
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Hidalgo<C1>,179553.37799999997,191549.57900000003,190073.77899999998,195404.535,201655.418,208800.33500000002,195581.12600000005,206303.584,214569.18800000002,222797.00499999998,230982.76700000005,240079.594,253581.60100000002,264155.704,264114.69299999997,272561.297
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Jalisco<C1>,794957.3219999999,819238.3099999999,842128.813,886009.7259999999,913139.834,918573.456,870319.0999999999,925371.837,953148.0560000001,995285.9989999998,1018578.6070000002,1062083.7759999998,1107681.987,1162001.062,1192385.651,1226570.141
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|México<C1>,1048403.5900000001,1073840.8099999998,1099376.7940000002,1150701.9500000002,1184658.4279999998,1198144.3499999999,1138727.918,1226813.687,1283448.1970000002,1339994.611,1365154.2290000003,1405514.291,1438521.8790000002,1481449.968,1542591.5679999995,1584063.7850000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,294468.30600000004,301021.642,306026.395,320451.426,328272.18999999994,334657.914,317003.042,329767.26,343275.664,352030.387,359465.98699999996,383195.31999999995,391667.4309999999,408268.91799999995,422124.7,430351.926
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Morelos<C1>,158055.834,159734.875,171279.47100000002,168177.81,169325.362,169672.507,168348.348,174984.467,174678.088,175717.837,182126.14299999998,184150.263,186472.28200000004,192344.911,202253.571,201299.745
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nayarit<C1>,76105.196,86879.42199999999,90269.847,92165.697,91675.276,98292.89000000001,93038.497,97786.13399999999,100704.16,100800.218,103627.459,109267.96699999999,114883.654,119686.73999999999,121602.292,120415.54700000002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nuevo León<C1>,803888.5280000002,849841.554,885438.787,946837.916,1004636.5210000002,1020366.7679999999,952725.7779999999,1025184.258,1069812.2680000002,1113817.766,1124999.8930000002,1162064.8650000002,1219286.846,1239320.8819999998,1278690.616,1324742.9649999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Oaxaca<C1>,202963.936,210757.192,213677.21700000003,218023.575,219815.363,226633.78699999995,224510.70500000002,228089.144,234955.838,239680.17100000003,245515.97600000002,250555.69400000002,260507.54100000003,256411.47599999997,250441.89099999997,262170.238
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Puebla<C1>,395907.258,405907.94299999997,428179.294,447201.40300000005,465818.72199999995,468969.4710000001,432578.67600000004,469967.8400000001,493353.22399999993,524226.05799999996,519256.5349999999,524307.5460000001,539447.247,553071.5700000001,587299.1719999999,601167.726
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Querétaro<C1>,212106.713,227917.275,243311.19,258448.27100000004,271622.05100000004,278348.405,270311.398,287403.169,308865.22799999994,318294.372,319989.72800000006,345653.11399999994,369835.745,385705.11100000003,401850.471,413808.11799999996
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Quintana Roo<C1>,144233.02000000002,156941.59900000002,163681.664,174364.522,192904.582,203018.581,185671.746,195148.828,206053.84900000002,215709.87099999996,225272.667,233661.538,245512.27500000002,263378.223,274581.265,288571.661
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,224280.26700000002,237464.46500000003,247240.38799999998,258649.446,264315.631,270024.005,255845.961,269397.22,283881.7459999999,297293.96199999994,307896.47,315395.653,330163.06000000006,342485.8169999999,358909.58999999997,374094.01100000006
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sinaloa<C1>,268247.066,284658.629,285708.482,294951.69499999995,305622.537,316380.798,303066.17499999993,312655.113,318762.63800000004,330191.387,334097.30700000003,341211.831,361904.436,381837.764,385283.09199999995,395849.29300000006
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sonora<C1>,365533.727,384484.325,404881.254,429625.189,435397.343,436717.189,410374.27099999995,431501.919,471510.171,495926.03099999996,510315.674,519083.26399999997,537497.667,567563.28,572012.567,578668.79
