Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,395907.25800000003,405907.94299999997,428179.294,447201.40300000005,465818.72199999995,468969.4710000001,432578.67600000004,469967.8400000001,493353.22399999993,524226.0579999999,519256.5349999999,524307.5460000001,539447.247,553071.5700000001,587299.1719999999,601167.726
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,18753.415,19165.917,19391.578,20228.143,21332.959,21285.441,19981.701,20962.941,19806.127,22127.802,22182.283,22048.287,24080.858,23976.166,24059.18,24556.272
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",18753.415,19165.917,19391.578,20228.143,21332.959,21285.441,19981.701,20962.941,19806.127,22127.802,22182.283,22048.287,24080.858,23976.166,24059.18,24556.272
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,128316.87899999999,129721.293,147165.657,155027.544,163319.387,163704.33000000002,140226.89399999997,158684.715,169474.253,186368.82099999997,172755.59100000001,173702.96600000001,178253.006,182706.83000000002,206953.444,210204.054
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,3373.593,4805.759,4908.094999999999,5780.662,5510.697,5895.969,5353.226000000001,6241.65,8942.674,11303.371000000001,11774.485,8795.508,8104.478999999999,7982.265,6899.968000000001,5861.344
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,833.825,2258.625,1875.413,2400.399,1634.674,2229.983,3025.665,3883.641,6256.278,8606.645,9581.697,6509.51,5811.726,5492.676,4621.453,3495.049
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,2539.768,2547.134,3032.682,3380.263,3876.023,3665.986,2327.561,2358.009,2686.396,2696.726,2192.788,2285.998,2292.753,2489.589,2278.515,2366.295
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",3699.49,4245.328,4461.593,5350.55,5960.085,6450.094,5959.704,8309.673,8628.217,8877.246,9052.856,10274.62,9574.312,9968.735,10397.746,10856.628
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,19509.68,21661.203,26304.539,29543.186,29285.826,29907.595,28014.765,29476.203,30017.94,33446.27,31820.935,34926.621,38443.151,41234.474,35905.042,38343.471
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,101734.11599999998,99009.00300000001,111491.43,114353.14600000001,122562.779,121450.672,100899.19899999998,114657.189,121885.42199999999,132741.93399999998,120107.315,119706.217,122131.064,123521.356,153750.688,155142.611
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,21029.46,22270.407,23689.641,25523.143,25991.885,26695.657,25635.957,25049.258,24921.174,25387.92,23290.295,22964.013,23645.05,25691.604,27749.36,28528.48
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,1862.917,2176.49,2305.67,2172.759,2109.784,2340.9,2295.255,1909.518,1903.871,1896.446,1815.843,1500.121,1568.978,1537.074,1454.74,1447.414
