Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,83254.18599999999,89789.73,79279.27900000001,77889.93400000001,79019.573,83246.79000000001,81739.53,88809.88600000003,86031.739,89918.601,87657.644,90496.304,96609.07500000001,97224.23500000002,96251.254,99537.52100000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,3334.045,2770.412,3052.572,3226.241,3000.407,3584.674,3185.464,3559.012,2346.447,3557.616,3235.906,3362.656,3372.873,3297.743,3241.695,3281.138
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",3334.045,2770.412,3052.572,3226.241,3000.407,3584.674,3185.464,3559.012,2346.447,3557.616,3235.906,3362.656,3372.873,3297.743,3241.695,3281.138
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,36489.619999999995,42524.513999999996,31010.406000000003,26499.223999999995,27399.417,28932.571000000004,29194.251000000004,34176.213,30452.285999999996,31934.600999999995,28331.629999999997,30207.468,34206.71400000001,33830.762,31354.612,33809.893000000004
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,381.286,435.865,360.211,459.173,478.911,479.74,442.843,496.011,432.857,543.956,402.123,369.007,344.837,359.188,364.253,374.478
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,381.286,435.865,360.211,459.173,478.911,479.74,442.843,496.011,432.857,543.956,402.123,369.007,344.837,359.188,364.253,374.478
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",496.067,580.5,652.193,779.572,830.854,804.261,807.912,904.311,881.509,855.547,868.496,974.401,991.62,1003.43,1015.795,1061.305
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,14877.207,19022.576,11842.229,5693.47,6862.504,8730.096,10207.179,13735.164,8162.844,9237.383,6061.786,7605.818,11131.793,9997.526,7570.569,9431.215
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,20735.059999999998,22485.572999999997,18155.773,19567.008999999995,19227.148,18918.474000000002,17736.317000000003,19040.727000000003,20975.075999999997,21297.714999999997,20999.225,21258.242000000002,21738.464000000004,22470.618,22403.995000000003,22942.895000000004
