Descriptores,1993|T1,1993|T2,1993|T3,1993|T4,1993|6 Meses,1993|9 Meses,1993|Anual,1994|T1,1994|T2,1994|T3,1994|T4,1994|6 Meses,1994|9 Meses,1994|Anual,1995|T1,1995|T2,1995|T3,1995|T4,1995|6 Meses,1995|9 Meses,1995|Anual,1996|T1,1996|T2,1996|T3,1996|T4,1996|6 Meses,1996|9 Meses,1996|Anual,1997|T1,1997|T2,1997|T3,1997|T4,1997|6 Meses,1997|9 Meses,1997|Anual,1998|T1,1998|T2,1998|T3,1998|T4,1998|6 Meses,1998|9 Meses,1998|Anual,1999|T1,1999|T2,1999|T3,1999|T4,1999|6 Meses,1999|9 Meses,1999|Anual,2000|T1,2000|T2,2000|T3,2000|T4,2000|6 Meses,2000|9 Meses,2000|Anual,2001|T1,2001|T2,2001|T3,2001|T4,2001|6 Meses,2001|9 Meses,2001|Anual,2002|T1,2002|T2,2002|T3,2002|T4,2002|6 Meses,2002|9 Meses,2002|Anual,2003|T1,2003|T2,2003|T3,2003|T4,2003|6 Meses,2003|9 Meses,2003|Anual,2004|T1,2004|T2,2004|T3,2004|T4,2004|6 Meses,2004|9 Meses,2004|Anual,2005|T1,2005|T2,2005|T3,2005|T4,2005|6 Meses,2005|9 Meses,2005|Anual,2006|T1,2006|T2,2006|T3,2006|T4,2006|6 Meses,2006|9 Meses,2006|Anual,2007|T1,2007|T2,2007|T3,2007|T4,2007|6 Meses,2007|9 Meses,2007|Anual,2008|T1,2008|T2,2008|T3,2008|T4,2008|6 Meses,2008|9 Meses,2008|Anual,2009|T1,2009|T2,2009|T3,2009|T4,2009|6 Meses,2009|9 Meses,2009|Anual,2010|T1,2010|T2,2010|T3,2010|T4,2010|6 Meses,2010|9 Meses,2010|Anual,2011|T1,2011|T2,2011|T3,2011|T4,2011|6 Meses,2011|9 Meses,2011|Anual,2012|T1,2012|T2,2012|T3,2012|T4,2012|6 Meses,2012|9 Meses,2012|Anual,2013|T1,2013|T2,2013|T3,2013|T4,2013|6 Meses,2013|9 Meses,2013|Anual,2014|T1,2014|T2,2014|T3,2014|T4,2014|6 Meses,2014|9 Meses,2014|Anual,2015|T1,2015|T2,2015|T3,2015|T4,2015|6 Meses,2015|9 Meses,2015|Anual,2016|T1,2016|T2,2016|T3,2016|T4,2016|6 Meses,2016|9 Meses,2016|Anual,2017|T1<R>,2017|T2<R>,2017|T3<R>,2017|T4<R>,2017|6 Meses<R>,2017|9 Meses<R>,2017|Anual<R>,2018|T1<R>,2018|T2<R>,2018|T3<R>,2018|T4<R>,2018|6 Meses<R>,2018|9 Meses<R>,2018|Anual<R>,2019|T1<R>,2019|T2<R>,2019|T3<P>,2019|T4,2019|6 Meses,2019|9 Meses,2019|Anual
"B.1bP---Producto interno bruto<C1,C2>",1502180.441,1553803.133,1553768.14,1630621.43,1527991.787,1536583.905,1560093.286,1669869.475,1779779.966,1779633.335,1896407.065,1724824.721,1743094.259,1781422.46,2008487.224,2246584.279,2357628.061,2633134.247,2127535.752,2204233.188,2311458.453,2854790.859,3026075.769,3137331.92,3474473.208,2940433.314,3006066.183,3123167.939,3593692.615,3902792.751,4000910.967,4352700.331,3748242.683,3832465.444,3962524.166,4513431.516,4726991.281,4869907.662,5130163.357,4620211.399,4703443.486,4810123.454,5362992.006,5652894.866,5846010.151,6091968.454,5507943.436,5620632.341,5738466.369,6412026.358,6660435.442,6803749.997,6898520.259,6536230.9,6625403.932,6693683.014,6972344.251,7097269.308,7098960.831,7108934.699,7034806.78,7056191.463,7069377.272,6989364.874,7583211.74,7550711.125,7698549.04,7286288.307,7374429.246,7455459.195,7745442.737,7880575.135,7771536.613,8077683.728,7813008.936,7799184.828,7868809.553,8346933.397,8882220.451,8844033.152,9240282.736,8614576.924,8691062.333,8828367.434,9061147.319,9643592.415,9574366.665,9971486.051,9352369.867,9426368.8,9562648.113,10100429.421,10757668.325,10703482.034,10962177.926,10429048.873,10520526.593,10630939.427,10923991.474,11486480.762,11518669.882,12087159.931,11205236.118,11309714.039,11504075.512,11782114.987,12721060.426,12484778.681,12427427.029,12251587.707,12329318.031,12353845.281,11655060.375,11942368.772,12197785.492,12855836.744,11798714.574,11931738.213,12162762.846,12783164.364,13282274.425,13346021.408,14054048.486,13032719.395,13137153.399,13366377.171,13909667.817,14375968.63,14641737.356,15734932.084,14142818.224,14309124.601,14665576.472,15412502.61,15710712.215,15770761.717,16377041.794,15561607.413,15631325.514,15817754.584,15769747.463,16200152.883,16203436.847,16935411.119,15984950.173,16057779.064,16277187.078,16741180.823,17415983.013,17453268.885,18284933.429,17078581.918,17203477.574,17473841.538,17766389.488,18469820.772,18658673.264,19310953.539,18118105.13,18298294.508,18551459.266,18977987.362,19970080.038,20154642.166,21369694.114,19474033.7,19700903.189,20118100.92,21297775.609,21814513.33,21704643.037,22830643.211,21556144.47,21605643.992,21911893.797,22713205.846,23645843.605,23307952.103,24299026.515,23179524.726,23222333.851,23491507.017,23971432.355,24323812.85,23961983.519,,24147622.603,24085742.908,
"D.21-D.31---Impuestos sobre los productos, netos",68635.191,68168.205,65257.342,72201.25,68401.698,67353.579,68565.497,82505.449,83023.548,83222.532,91709.335,82764.499,82917.176,85115.216,76575.667,88832.223,95182.852,123104.434,82703.945,86863.581,95923.794,117866.365,112757.641,125288.257,144326.257,115312.003,118637.421,125059.63,154594.088,161426.905,179395.45,216482.065,158010.497,165138.814,177974.627,216750.459,230184.245,243694.459,273794.025,223467.352,230209.721,241105.797,286011.091,292086.225,296104.468,315873.556,289048.658,291400.595,297518.835,313794.151,305104.025,314983.007,315124.869,309449.088,311293.728,312251.513,348065.196,331327.458,347607.516,384991.362,339696.327,342333.39,352997.883,375261.624,390805.136,378376.895,396197.905,383033.38,381481.218,385160.39,402303.469,383426.133,396684.977,390417.206,392864.801,394138.193,393207.946,408443.37,397946.383,370311.567,384693.716,403194.877,392233.773,390348.759,405801.618,389456.277,386546.709,400896.539,397628.948,393934.868,395675.286,422196.465,406173.045,379239.331,392406.708,414184.755,402536.28,400003.887,466098.805,430846.175,415608.024,435057.369,448472.49,437517.668,436902.593,355158.8,302147.713,268088.159,340189.259,328653.257,308464.891,316395.983,555699.3,499380.758,489821.221,470507.62,527540.029,514967.093,503852.225,551733.35,488811.36,551545.412,576533.786,520272.355,530696.707,542155.977,570185.326,423245.103,455754.911,570129.164,496715.215,483061.78,504828.626,474685.695,404331.325,551947.37,500295.15,439508.51,476988.13,482814.885,670161.826,514455.52,671421.109,682230.477,592308.673,618679.485,634567.233,890371.829,847501.003,902466.595,977040.982,868936.416,880113.142,904345.102,1086881.226,1035216.662,1093281.455,1077001.277,1061048.944,1071793.114,1073095.155,1201011.569,1254327.721,1344682.539,1233446.091,1227669.645,1266673.943,1258366.98,1185175.091,1226427.893,1345917.567,1090894.953,1205801.492,1252506.85,1212103.876,1390926.056,1316359.848,1264013.621,1230073.051,1353642.952,1323766.508,1300343.144,1584717.401,1474908.645,1325245.222,,1529813.023,1461623.756,
"B.1bV---Valor agregado bruto<C2,C3>",1433545.25,1485634.928,1488510.798,1558420.18,1459590.089,1469230.325,1491527.789,1587364.026,1696756.418,1696410.803,1804697.73,1642060.222,1660177.082,1696307.244,1931911.557,2157752.056,2262445.209,2510029.813,2044831.807,2117369.607,2215534.659,2736924.494,2913318.128,3012043.663,3330146.951,2825121.311,2887428.762,2998108.309,3439098.527,3741365.846,3821515.517,4136218.266,3590232.187,3667326.63,3784549.539,4296681.057,4496807.036,4626213.203,4856369.332,4396744.047,4473233.765,4569017.657,5076980.915,5360808.641,5549905.683,5776094.898,5218894.778,5329231.746,5440947.534,6098232.207,6355331.417,6488766.99,6583395.39,6226781.812,6314110.205,6381431.501,6624279.055,6765941.85,6751353.315,6723943.337,6695110.453,6713858.073,6716379.389,6614103.25,7192406.604,7172334.23,7302351.135,6903254.927,6992948.028,7070298.805,7343139.268,7497149.002,7374851.636,7687266.522,7420144.135,7405046.635,7475601.607,7938490.027,8484274.068,8473721.585,8855589.02,8211382.048,8298828.56,8438018.675,8655345.701,9254136.138,9187819.956,9570589.512,8954740.92,9032433.932,9166972.827,9678232.956,10351495.28,10324242.703,10569771.218,10014864.118,10117990.313,10230935.539,10457892.669,11055634.587,11103061.858,11652102.562,10756763.628,10872196.371,11067172.919,11426956.187,12418912.713,12216690.522,12087237.77,11922934.45,12020853.141,12037449.298,11099361.075,11442988.014,11707964.271,12385329.124,11271174.545,11416771.12,11658910.621,12231431.014,12793463.065,12794475.996,13477514.7,12512447.04,12606456.692,12824221.194,13339482.491,13952723.527,14185982.445,15164802.92,13646103.009,13826062.821,14160747.846,14937816.915,15306380.89,15218814.347,15876746.644,15122098.903,15154337.384,15334939.699,15099585.637,15685697.363,15532015.738,16253180.642,15392641.5,15439099.579,15642619.845,15850808.994,16568482.01,16550802.29,17307892.447,16209645.502,16323364.431,16569496.435,16679508.262,17434604.11,17565391.809,18233952.262,17057056.186,17226501.394,17478364.111,17776975.793,18715752.317,18809959.627,20136248.023,18246364.055,18434229.246,18859733.94,20112600.518,20588085.437,20358725.47,21739748.258,20350342.978,20353137.142,20699789.921,21322279.79,22329483.757,22043938.482,23068953.464,21825881.774,21898567.343,22191163.873,22386714.954,22848904.205,22636738.297,,22617809.58,22624119.152,
Actividades primarias,76185.057,77963.609,75552.257,88589.301,77074.333,76566.974,79572.556,77350.774,86488.819,72653.355,92490.216,81919.797,78830.983,82245.791,82520.506,94651.48,99971.05,131973.155,88585.993,92381.012,102279.048,132631.149,147249.742,144030.394,184290.347,139940.446,141303.762,152050.408,166558.034,176405.68,159930.296,202480.742,171481.857,167631.337,176343.688,189194.701,192862.06,190185.715,227912.356,191028.381,190747.492,200038.708,233873.982,199781.383,187112.882,224178.849,216827.683,206922.749,211236.774,218584.64,221002.974,194262.979,255896.863,219793.807,211283.531,222436.864,222553.686,244080.003,216801.137,278923.842,233316.845,227811.609,240589.667,230606.627,244610.312,220319.058,282107.867,237608.47,231845.332,244410.966,254489.109,269003.194,237715.102,305012.039,261746.152,253735.802,266554.861,295352.957,287359.507,251298.559,345172.981,291356.232,278003.674,294796.001,284869.638,293722.566,274434.191,322492.413,289296.102,284342.132,293879.702,309131.332,325415.187,273867.478,399542.739,317273.26,302804.666,326989.184,348666.317,369724.302,311130.915,434585.914,359195.31,343173.845,366026.862,357604.944,407660.74,317855.59,478591.914,382632.842,361040.425,390428.297,379720.098,422394.057,325125.447,449781.379,401057.078,375746.534,394255.245,380034.49,464723.963,369145.846,507233.017,422379.227,404634.766,430284.329,417804.425,450135.559,403789.57,540033.209,433969.992,423909.851,452940.691,454980.266,523378.084,425948.658,603867.64,489179.175,468102.336,502043.662,463182.553,557482.836,416651.565,606305.822,510332.695,479105.651,510905.694,489741.245,575402.89,472982.561,652977.001,532572.068,512708.899,547775.924,550598.56,618557.788,498849.475,703953.968,584578.174,556001.941,592989.948,599357.656,704227.099,571060.106,820627.931,651792.378,624881.62,673818.198,664125.979,779368.634,623897.167,899908.896,721747.307,689130.593,741825.169,759234.383,821476.106,639595.583,961226.02,790355.245,740102.024,795383.023,793311.453,865475.33,712407.604,,829393.392,790398.129,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",76185.057,77963.609,75552.257,88589.301,77074.333,76566.974,79572.556,77350.774,86488.819,72653.355,92490.216,81919.797,78830.983,82245.791,82520.506,94651.48,99971.05,131973.155,88585.993,92381.012,102279.048,132631.149,147249.742,144030.394,184290.347,139940.446,141303.762,152050.408,166558.034,176405.68,159930.296,202480.742,171481.857,167631.337,176343.688,189194.701,192862.06,190185.715,227912.356,191028.381,190747.492,200038.708,233873.982,199781.383,187112.882,224178.849,216827.683,206922.749,211236.774,218584.64,221002.974,194262.979,255896.863,219793.807,211283.531,222436.864,222553.686,244080.003,216801.137,278923.842,233316.845,227811.609,240589.667,230606.627,244610.312,220319.058,282107.867,237608.47,231845.332,244410.966,254489.109,269003.194,237715.102,305012.039,261746.152,253735.802,266554.861,295352.957,287359.507,251298.559,345172.981,291356.232,278003.674,294796.001,284869.638,293722.566,274434.191,322492.413,289296.102,284342.132,293879.702,309131.332,325415.187,273867.478,399542.739,317273.26,302804.666,326989.184,348666.317,369724.302,311130.915,434585.914,359195.31,343173.845,366026.862,357604.944,407660.74,317855.59,478591.914,382632.842,361040.425,390428.297,379720.098,422394.057,325125.447,449781.379,401057.078,375746.534,394255.245,380034.49,464723.963,369145.846,507233.017,422379.227,404634.766,430284.329,417804.425,450135.559,403789.57,540033.209,433969.992,423909.851,452940.691,454980.266,523378.084,425948.658,603867.64,489179.175,468102.336,502043.662,463182.553,557482.836,416651.565,606305.822,510332.695,479105.651,510905.694,489741.245,575402.89,472982.561,652977.001,532572.068,512708.899,547775.924,550598.56,618557.788,498849.475,703953.968,584578.174,556001.941,592989.948,599357.656,704227.099,571060.106,820627.931,651792.378,624881.62,673818.198,664125.979,779368.634,623897.167,899908.896,721747.307,689130.593,741825.169,759234.383,821476.106,639595.583,961226.02,790355.245,740102.024,795383.023,793311.453,865475.33,712407.604,,829393.392,790398.129,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura",48324.09,47561.456,41617.033,56016.133,47942.773,45834.193,48379.678,48372.635,54602.431,37237.985,57503.329,51487.533,46737.684,49429.095,49408.924,54288.255,54245.794,79072.471,51848.59,52647.658,59253.861,77233.219,86175.336,78157.311,109941.898,81704.278,80521.955,87876.941,98233.187,102257.804,77982.331,115732.042,100245.496,92824.441,98551.341,114288.748,113090.82,100251.267,134174.489,113689.784,109210.278,115451.331,149616.923,115535.841,94162.919,126230.058,132576.382,119771.894,121386.435,124795.307,124699.322,90283.12,143342.512,124747.315,113259.25,120780.065,123605.36,137960.301,105026.449,162539.474,130782.831,122197.37,132282.896,132817.774,139634.969,107244.827,164307.011,136226.372,126565.857,136001.145,143063.194,153869.273,117569.873,178813.831,148466.234,138167.447,148329.043,177720.283,167569.079,118988.119,201239.544,172644.681,154759.16,166379.256,156643.513,159292.554,132308.794,177596.199,157968.034,149414.954,156460.265,173832.132,187758.729,134389.703,247027.071,180795.431,165326.855,185751.909,209509.263,228222.57,167424.184,282826.994,218865.917,201718.672,221995.753,222668.32,261145.929,172433.196,317278.663,241907.125,218749.148,243381.527,230764.422,272696.874,174443.31,295364.706,251730.648,225968.202,243317.328,232068.336,306634.266,203953.184,337469.357,269351.301,247551.929,270031.286,270131.82,291250.641,235004.009,357938.157,280691.231,265462.157,288581.157,291411.507,348923.949,236278.764,398212.328,320167.728,292204.74,318706.637,278755.501,351051.615,225693.227,398823.189,314903.558,285166.781,313580.883,290159.457,352497.732,245448.684,412177.519,321328.595,296035.291,325070.848,315273.954,378206.435,257075.962,449440.433,346740.195,316852.117,349999.196,370536.589,447591.254,316596.047,544583.503,409063.922,378241.297,419826.848,424602.519,512675.041,353882.982,609502.138,468638.78,430386.847,475165.67,484909.228,535215.736,358962.632,646263.92,510062.482,459695.865,506337.879,522882.137,555145.188,405044.516,,539013.663,494357.28,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales",20614.659,22803.553,26802.122,25288.55,21709.106,23406.778,23877.221,21721.188,24055.878,27917.125,26343.761,22888.533,24564.73,25009.488,24816.798,31276.498,35191.29,40669.085,28046.648,30428.195,32988.418,42539.001,48478.212,52188.004,59980.443,45508.606,47735.072,50796.415,54605.463,59062.11,65926.498,68161.153,56833.787,59864.69,61938.806,59217.178,62508.913,70643.382,72154.475,60863.046,64123.158,66130.987,64303.676,64658.904,71208.761,75551.431,64481.29,66723.78,68930.693,70930.153,74388.936,79398.836,84869.799,72659.545,74905.975,77396.931,75432.421,81334.455,85781.384,87453.84,78383.438,80849.42,82500.525,75841.046,79208.657,87545.41,89850.567,77524.852,80865.038,83111.42,83407.897,88044.037,92712.391,96188.263,85725.967,88054.775,90088.147,93933.401,95149.377,105475.448,111822.422,94541.389,98186.075,101595.162,104342.591,108304.371,113828.251,112736.727,106323.481,108825.071,109802.985,109184.469,110021.529,111393.048,120420.442,109602.999,110199.682,112754.872,107415.338,112244.486,115870.461,115999.979,109829.912,111843.428,112882.566,108015.046,115462.979,118736.376,128152.615,111739.013,114071.467,117591.754,119138.598,121708.348,124593.114,125490.22,120423.473,121813.353,122732.57,120559.26,127684.501,138940.459,136839.436,124121.881,129061.407,131005.914,123559.21,129143.228,140071.644,146587.906,126351.219,130924.694,134840.497,138307.977,143301.767,160759.245,171235.119,140804.872,147456.33,153401.027,157943.996,175847.194,161687.038,171472.467,166895.595,165159.409,166737.674,168853.506,189881.475,196273.644,202959.364,179367.491,185002.875,189491.997,198481.641,205492.043,206322.425,210872.855,201986.842,203432.036,205292.241,194484.628,216652.512,213267.657,225496.09,205568.57,208134.932,212475.222,199444.162,223248.997,225892.934,235619.447,211346.58,216195.364,221051.385,232061.617,238807.897,234385.137,259085.241,235434.757,235084.884,241084.973,226716.63,263222.113,260183.512,,244969.372,250040.752,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113---Aprovechamiento forestal",4663.52,4514.66,4516.495,4463.177,4589.09,4564.892,4539.463,4471.455,4658.149,4644.679,5101.161,4564.802,4591.428,4718.861,4551.046,5015.608,5505.219,6554.891,4783.327,5023.958,5406.691,7439.248,6999.219,7676.978,7988.632,7219.234,7371.815,7526.019,8259.577,8569.913,8992.306,10774.411,8414.745,8607.265,9149.052,10149.491,10443.116,11917.321,12954.381,10296.304,10836.643,11366.077,12939.799,12703.207,13205.203,13152.335,12821.503,12949.403,13000.136,15503.338,14531.485,15250.678,17017.159,15017.412,15095.167,15575.665,16088.341,16624.712,16306.439,17473.831,16356.527,16339.831,16623.331,14837.784,16787.138,16136.878,16202.82,15812.461,15920.6,15991.155,18663.904,16489.475,15121.483,17068.083,17576.69,16758.287,16835.736,15822.837,15560.688,15903.669,18585.238,15691.763,15762.398,16468.108,15043.69,15939.187,16339.82,19854.219,15491.439,15774.232,16794.229,17180.396,18060.25,16196.123,18357.399,17620.323,17145.59,17448.542,21077.59,18995.938,15908.385,20953.559,20036.764,18660.638,19233.868,18228.098,20136.803,16408.368,18873.844,19182.451,18257.756,18411.778,19290.564,17622.404,15631.594,15713.798,18456.484,17514.854,17064.59,15472.053,18410.385,16338.871,19406.627,16941.219,16740.436,17406.984,15642.939,19018.23,16773.691,19264.273,17330.585,17144.953,17674.783,15913.777,19350.564,17084.376,18987.142,17632.171,17449.572,17833.965,16353.853,18425.27,16412.386,18678.822,17389.562,17063.836,17467.583,17038.865,19064.502,17723.798,18766.298,18051.684,17942.388,18148.366,18633.391,19872.225,18403.746,20000.494,19252.808,18969.787,19227.464,18623.958,20929.997,20697.633,23251.96,19776.978,20083.863,20875.887,22207.2,24138.918,22929.762,23658.849,23173.059,23091.96,23233.682,23832.682,25282.316,24521.774,26870.536,24557.499,24545.591,25126.827,25651.359,26941.697,25980.624,,26296.528,26191.227,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura",2477.614,2998.281,2517.281,2697.091,2737.948,2664.392,2672.567,2634.809,3069.931,2705.179,3336.798,2852.37,2803.306,2936.679,3576.804,3958.395,4556.307,5109.437,3767.6,4030.502,4300.236,5165.121,5370.018,5421.914,5848.007,5267.57,5319.018,5451.265,5180.907,6330.366,6517.095,6865.232,5755.637,6009.456,6223.4,5212.964,6593.037,6609.8,8081.271,5903.001,6138.6,6624.268,6598.073,6639.736,8089.315,8827,6618.905,7109.041,7538.531,7040.951,7151.033,8964.158,10207.73,7095.992,7718.714,8340.968,7103.5,7919.289,9302.127,11010.136,7511.395,8108.305,8833.763,6811.28,8714.856,9134.481,11329.88,7763.068,8220.206,8997.624,8408.57,9740.609,11422.23,11646.282,9074.59,9857.136,10304.423,6978.728,8225.513,9778.425,11943.811,7602.121,8327.555,9231.619,7913.72,9298.114,10767.507,10695.431,8605.917,9326.447,9668.693,7744.274,8576.869,10716.839,12048.45,8160.572,9012.661,9771.608,9414.54,9187.677,10843.596,12886.531,9301.109,9815.271,10583.086,7630.851,9775.114,9273.062,12224.285,8702.983,8893.009,9725.828,9350.801,9357.419,9425.219,11634.205,9354.11,9377.813,9941.911,10694.184,10859.536,8842.681,11332.886,10776.86,10132.134,10432.322,7145.476,9588.32,10681.951,13102.866,8366.898,9138.582,10129.653,8124.915,10586.986,10405.687,12269.16,9355.951,9705.863,10346.687,8621.211,10811.368,11636.441,14656,9716.29,10356.34,11431.255,11463.638,12606.736,12270.305,15775.749,12035.187,12113.56,13029.107,16029.182,13636.503,15853.095,21012.092,14832.843,15172.927,16632.718,14454.005,17399.511,19151.933,23632.927,15926.758,17001.816,18659.594,16328.815,17518.359,19552.646,24789.192,16923.587,17799.94,19547.253,16365.075,20254.504,20073.102,21862.879,18309.79,18897.56,19638.89,16181.544,18284.024,19562.656,,17232.784,18009.408,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|115---Servicios relacionados con las actividades agropecuarias y forestales",105.174,85.659,99.326,124.349,95.417,96.72,103.627,150.687,102.431,148.387,205.168,126.559,133.835,151.668,166.934,112.723,472.44,567.271,139.829,250.699,329.842,254.56,226.958,586.187,531.367,240.759,355.902,399.768,278.9,185.486,512.065,947.905,232.193,325.484,481.089,326.321,226.173,763.946,547.739,276.247,438.813,466.045,415.511,243.695,446.685,418.025,329.603,368.63,380.979,314.892,232.198,366.187,459.663,273.545,304.426,343.235,324.065,241.246,384.738,446.56,282.656,316.683,349.152,298.743,264.693,257.461,417.59,281.718,273.632,309.622,945.544,859.8,889.125,1295.579,902.672,898.156,997.512,897.709,854.849,1152.898,1581.968,876.279,968.485,1121.856,926.124,888.341,1189.819,1609.837,907.233,1001.428,1153.53,1190.061,997.81,1171.764,1689.376,1093.936,1119.878,1262.253,1249.586,1073.631,1084.288,1918.85,1161.609,1135.835,1331.589,1062.629,1139.916,1004.587,2062.507,1101.273,1069.044,1317.41,1175.713,1009.01,1032.211,1578.45,1092.362,1072.311,1198.846,1240.657,1135.274,1070.65,2184.711,1187.966,1148.86,1407.823,1324.981,1135.141,1258.275,3140.007,1230.061,1239.466,1714.601,1222.091,1214.818,1420.585,3163.89,1218.455,1285.831,1755.346,1507.991,1347.389,1222.473,2675.343,1427.69,1359.284,1688.299,2225.779,1352.445,1266.13,3298.07,1789.112,1614.785,2035.606,2180.393,1350.582,1194.247,2628.093,1765.488,1575.074,1838.329,1258.476,1653.825,1346.836,3663.451,1456.151,1419.712,1980.647,1543.283,1787.319,1638.843,6339.271,1665.301,1656.482,2827.179,2065.781,1915.653,1652.937,7143.445,1990.717,1878.124,3194.454,1879.782,1882.308,1636.298,,1881.045,1799.463,
