Descriptores,1993|T1,1993|T2,1993|T3,1993|T4,1993|6 Meses,1993|9 Meses,1993|Anual,1994|T1,1994|T2,1994|T3,1994|T4,1994|6 Meses,1994|9 Meses,1994|Anual,1995|T1,1995|T2,1995|T3,1995|T4,1995|6 Meses,1995|9 Meses,1995|Anual,1996|T1,1996|T2,1996|T3,1996|T4,1996|6 Meses,1996|9 Meses,1996|Anual,1997|T1,1997|T2,1997|T3,1997|T4,1997|6 Meses,1997|9 Meses,1997|Anual,1998|T1,1998|T2,1998|T3,1998|T4,1998|6 Meses,1998|9 Meses,1998|Anual,1999|T1,1999|T2,1999|T3,1999|T4,1999|6 Meses,1999|9 Meses,1999|Anual,2000|T1,2000|T2,2000|T3,2000|T4,2000|6 Meses,2000|9 Meses,2000|Anual,2001|T1,2001|T2,2001|T3,2001|T4,2001|6 Meses,2001|9 Meses,2001|Anual,2002|T1,2002|T2,2002|T3,2002|T4,2002|6 Meses,2002|9 Meses,2002|Anual,2003|T1,2003|T2,2003|T3,2003|T4,2003|6 Meses,2003|9 Meses,2003|Anual,2004|T1,2004|T2,2004|T3,2004|T4,2004|6 Meses,2004|9 Meses,2004|Anual,2005|T1,2005|T2,2005|T3,2005|T4,2005|6 Meses,2005|9 Meses,2005|Anual,2006|T1,2006|T2,2006|T3,2006|T4,2006|6 Meses,2006|9 Meses,2006|Anual,2007|T1,2007|T2,2007|T3,2007|T4,2007|6 Meses,2007|9 Meses,2007|Anual,2008|T1,2008|T2,2008|T3,2008|T4,2008|6 Meses,2008|9 Meses,2008|Anual,2009|T1,2009|T2,2009|T3,2009|T4,2009|6 Meses,2009|9 Meses,2009|Anual,2010|T1,2010|T2,2010|T3,2010|T4,2010|6 Meses,2010|9 Meses,2010|Anual,2011|T1,2011|T2,2011|T3,2011|T4,2011|6 Meses,2011|9 Meses,2011|Anual,2012|T1,2012|T2,2012|T3,2012|T4,2012|6 Meses,2012|9 Meses,2012|Anual,2013|T1,2013|T2,2013|T3,2013|T4,2013|6 Meses,2013|9 Meses,2013|Anual,2014|T1,2014|T2,2014|T3,2014|T4,2014|6 Meses,2014|9 Meses,2014|Anual,2015|T1,2015|T2,2015|T3,2015|T4,2015|6 Meses,2015|9 Meses,2015|Anual,2016|T1,2016|T2,2016|T3,2016|T4,2016|6 Meses,2016|9 Meses,2016|Anual,2017|T1<R>,2017|T2<R>,2017|T3<R>,2017|T4<R>,2017|6 Meses<R>,2017|9 Meses<R>,2017|Anual<R>,2018|T1<R>,2018|T2<R>,2018|T3<R>,2018|T4<R>,2018|6 Meses<R>,2018|9 Meses<R>,2018|Anual<R>,2019|T1<R>,2019|T2<R>,2019|T3<P>,2019|T4,2019|6 Meses,2019|9 Meses,2019|Anual
"B.1bP---Producto interno bruto<C1,C2>",NA,NA,NA,NA,NA,NA,NA,11.163042030315,14.543466170241,14.536608724645,16.299653010202,12.881805758031,13.439575497831,14.186919204523,20.278096825502,26.228203593567,32.478304077171,38.848578219149,23.347939422304,26.455191772851,29.753525898624,42.13637133895,34.696739280441,33.07153795367,31.951996445246,38.208409011968,36.376958634197,35.116767292378,25.882868220295,28.972076343274,27.525906375886,25.276554758801,27.472460101505,27.491053446311,26.875155079517,25.593143307834,21.11817312843,21.719970830833,17.86162535617,23.263400738559,22.726311684391,21.390387856123,18.822939641121,19.587588170971,20.043552296003,18.748040365764,19.214099969368,19.50036941509,19.299773152974,19.560617484165,17.823444445429,16.382794782458,13.239592606072,18.669172549578,17.876486666289,16.645852455635,8.738546314628,6.558638242259,4.338942996585,3.050138755851,7.627880465484,6.502056862063,5.612668798541,0.244116216688,6.846892951522,6.363611587027,8.293990111949,3.574817828898,4.510050282347,5.461328602863,10.81754746862,3.921338414322,2.924565439523,4.92475511983,7.22892928206,5.759843478468,5.544264238978,7.765736322944,12.71030729155,13.80031507805,14.392727508878,10.259401909892,11.435522104798,12.194447896304,8.556602623147,8.571865201953,8.257923737371,7.913213652557,8.564471006632,8.460490085407,8.317287250326,11.469652411685,11.55249892423,11.793107664527,9.935248065665,11.51236554276,11.607415498108,11.171500837176,8.15373306097,6.774817878576,7.616099559102,10.262395051368,7.442550653008,7.501406312923,8.213160191492,7.855402624969,10.748110666622,8.387329517184,2.81511206886,9.338059260698,9.015294184133,7.386684554648,-1.078368460503,-6.121279421081,-2.298744706118,3.447292138592,-3.696444443207,-3.224669985804,-1.546744601811,9.679091765323,11.219764508877,9.41347851012,9.320371484643,10.458807298545,10.102594982235,9.895895696066,8.812399034565,8.234238881117,9.708630822541,11.96013803193,8.517783551957,8.921043748254,9.719906032719,10.804246462042,9.284547144981,7.710999955462,4.080791112234,10.031870356591,9.240264166178,7.85634382801,2.317889975689,3.115330872987,2.743527153375,3.409463882571,2.720430793328,2.728198255599,2.904536744202,6.160107270451,7.505053432402,7.713376179396,7.96864215765,6.841633744015,7.134850376467,7.351727631228,6.123873075856,6.050980632063,6.906467704946,5.611287095925,6.08670682959,6.363928044726,6.167033881225,6.819606621921,8.12276028295,8.017552378101,10.660999058603,7.483832113077,7.665242683611,8.444843241368,12.223573568423,9.235983473728,7.690540264787,6.836546602896,10.691728288423,9.668291776915,8.916313145724,6.645906422274,8.395008622455,7.386940495943,6.431633530555,7.530939766428,7.482720068879,7.208930613822,5.539625350693,2.867181464639,2.806044105075,,4.176521686461,3.718011559647,
"D.21-D.31---Impuestos sobre los productos, netos",NA,NA,NA,NA,NA,NA,NA,20.208668174319,21.792187428142,27.529760559356,27.019040529077,20.99772581669,23.107305106979,24.137094783984,-7.187139845757,6.996418654621,14.37149256646,34.233264258213,-0.073164219843,4.759454181122,12.698761170976,53.921434337621,26.933264970753,31.629021790606,17.238877845781,39.427451737641,36.579012325085,30.373940380215,31.16047822464,43.162719234256,43.186164685809,49.994927811368,37.028663876388,39.19622713309,42.311813172644,40.206175930867,42.59348217077,35.842051177998,26.474230093842,41.425637057518,39.403763066871,35.472005793275,31.954087811182,26.892361812165,21.506442622891,15.369046493984,29.347153135819,26.58049092549,23.397628220445,9.713979937932,4.456834621352,6.375634629059,-0.237021107269,7.057784021955,6.826730398406,4.951847166247,10.921505353361,8.594915455475,10.357545732618,22.171050232154,9.774544560946,9.971181301796,13.049214592597,7.813601679382,17.951327776764,8.85175883251,2.910855698627,12.757586572315,11.435585643574,9.11124642637,7.206131208343,-1.888154049234,4.838583497547,-1.459043303119,2.5667269521,3.317850107105,2.089403845499,1.526186442106,3.786974530502,-6.648451927636,-1.465993278995,2.629422634378,-0.483185855576,-0.727143749023,-0.646785379329,-2.133479876358,4.384184413013,4.211876182558,-1.380456279954,0.433694168401,1.364555894489,4.040113758245,4.292334977567,-1.890425614773,-2.117711223244,4.163632221264,2.183460439455,1.093978106078,10.398556984602,6.074536531591,9.589905378248,10.868993860319,8.278367222859,8.690244765018,9.224586860077,-23.80182137562,-29.871093087922,-35.494951127315,-21.805885099259,-26.717186822318,-29.496586409854,-27.582031311039,56.465023533135,65.277027266462,82.709009911922,38.30760600234,60.515685685111,66.945123424111,59.247352075263,-0.713686340796,-2.116500852442,12.601371348098,22.534420590255,-1.377653561906,3.054489153543,7.602179785948,3.344364809559,-13.413406963373,-17.367654397241,-1.110884072282,-4.527847726985,-8.975922852297,-6.884983765475,-16.748875610313,-4.468752943847,21.10618156345,-12.248805781141,-11.517002755794,-1.257323649161,-4.360636435066,41.180118351786,27.236127450674,21.645857104093,36.365598787036,34.766144346102,29.7054257933,31.430751767316,32.859228093365,64.737469042999,34.411412287009,43.212743338055,46.703307854484,42.256719891076,42.513677821748,22.070486801082,22.149314081697,21.143703385498,10.230921408781,22.108928163508,21.77901486216,18.659917837428,10.500718962644,21.165719896421,22.995092695504,14.525963649345,15.703394451519,18.18269089943,17.265181390182,-1.318594958514,-2.224285370793,0.091845321418,-11.557143764948,-1.781273414152,-1.11844828563,-3.676439761635,17.360385529736,7.332836729603,-6.085361244118,12.7581576592,12.260845668285,5.689362736819,7.279843728509,13.932541141497,12.044487473611,4.844220029176,,13.014515440701,10.414015399761,
"B.1bV---Valor agregado bruto<C2,C3>",NA,NA,NA,NA,NA,NA,NA,10.729956100095,14.210859345116,13.966979969466,15.803026241614,12.501464238156,12.996380060424,13.729509869695,21.705640631672,27.169229071983,33.36658815182,39.083114655439,24.52842956694,27.538780649184,30.60927888132,41.669243816217,35.016352777837,33.132225744876,32.673601474868,38.159104398164,36.368669525349,35.322112737935,25.655586573153,28.422838894304,26.87450596894,24.205277630705,27.082407860538,27.010116345167,26.231248138674,24.936259408307,20.1915883422,21.057030448269,17.410857447241,22.464058534162,21.975330160324,20.728176759638,18.16052547649,19.213668678311,19.966491803729,18.938542419739,18.699081006568,19.135999278589,19.0835304754,20.115326590705,18.55173058023,16.916707429386,13.976579440887,19.312269683012,18.480683632106,17.285297480319,8.62621871624,6.460881519123,4.046783085364,2.134885399918,7.52119883336,6.331024562787,5.248789208934,-0.153613773144,6.303109950612,6.235504133144,8.602211068871,3.108902765103,4.156923663942,5.2694970832,11.022446890287,4.237001810083,2.823591309408,5.271115834941,7.48761581987,5.893059770356,5.732470623637,8.107578206972,13.166672634313,14.90023126209,15.198152615841,10.663376594908,12.069902717095,12.874108581426,9.030126277943,9.073988697556,8.427210687027,8.07400264833,9.052786335536,8.839866575096,8.638925559145,11.817982670315,11.858039752559,12.368796433129,10.440127065811,11.838680844828,12.018425921214,11.606478300735,8.055806432275,6.802295590671,7.543595955698,10.239874843808,7.407983785487,7.454109310927,8.173615959286,9.266336428108,12.331070779085,10.029923981713,3.734392189604,10.841279610946,10.56508483478,8.767156581915,-2.866862414093,-7.858374734999,-4.164190376141,2.466166047795,-5.46643871719,-5.025284095183,-3.144675151927,10.199415365898,11.801769339859,9.28010796626,8.818381530803,11.012805187643,10.420508211082,9.99502106913,9.059050210329,9.061349973108,10.875837739936,12.519283098983,9.060225912453,9.674456183822,10.421893320316,11.98198224765,9.701742891849,7.280651206248,4.694711350723,10.816244703902,9.607034050088,8.291877418972,1.082947547962,2.478159113679,2.057988118251,2.370976916371,1.789054540215,1.879080475671,2.006399451444,4.975125642913,5.62795919474,6.559268089766,6.489264029186,5.307756969458,5.727437973149,5.925328360494,5.228119702368,5.22752838478,6.130153096041,5.350505948866,5.22781749851,5.532786863993,5.485185862862,6.579735527937,7.348306843774,7.0853404896,10.432712193529,6.972527123269,7.010871356738,7.903313034488,13.138481776634,10.00404946746,8.233754211662,7.963252305834,11.530948942255,10.409482655297,9.756532021363,6.014534375688,8.458281977354,8.277595837143,6.11417018369,7.250682691663,7.593081057813,7.204778201575,4.992126425896,2.326164158798,2.689173785728,,3.628388599371,3.313238704777,
Actividades primarias,NA,NA,NA,NA,NA,NA,NA,1.53,10.935,-3.837,4.403,6.286741398073,2.956900190414,3.359493692775,6.683,9.438,37.6,42.689,8.137466453927,17.1887099264,24.357789932375,60.725,55.57,44.072,39.642,57.97130139976,52.957581802633,48.662322316492,25.58,19.8,11.039,9.871,22.539167125421,18.631899552681,15.977122534259,13.591,9.329,18.918,12.56,11.398595945926,13.789876889188,13.436840449883,23.616,3.588,-1.616,-1.638,13.50548115675,8.479931678473,5.59794957284,-6.537,10.622,3.821,14.149,1.36796370231,2.107444455032,5.302149709974,1.816,10.442,11.602,8.999,6.152601924767,7.822700577642,8.160878855044,3.618,0.217,1.623,1.142,1.839397836877,1.77063979211,1.588305535998,10.356,9.972,7.896,8.119,10.15859493561,9.44184202941,9.060106983907,16.057,6.824,5.714,13.167,11.312517786317,9.564228543515,10.594869624231,-3.549,2.214,9.206,-6.571,-0.707082867546,2.279990731346,-0.310824772687,8.517,10.79,-0.207,23.892,9.67076908627,6.493070115969,11.266338496559,12.789,13.616,13.606,8.771,13.213231395548,13.331755924791,11.938522712727,2.564,10.261,2.161,10.126,6.525010585467,5.206276719603,6.666569460686,6.184,3.614,2.287,-6.02,4.815121436962,4.073258278488,0.980192273307,0.083,10.021,13.54,12.773,5.316487395343,7.688223146724,9.138517358215,9.939,-3.139,9.385,6.466,2.744160758645,4.763576098649,5.265439727413,8.898,16.271,5.488,11.82,12.721889535625,10.424972407636,10.840927294828,1.803,6.516,-2.183,0.404,4.324288743485,2.350621681153,1.765191490456,5.734,3.214,13.52,7.698,4.357818579505,7.013744866057,7.216641042172,12.426,7.5,5.469,7.807,9.765083286343,8.44398099671,8.254109393826,8.856,13.85,14.475,16.574,11.497898311886,12.388388226868,13.630627344125,10.806,10.67,9.252,9.661,10.732701295872,10.28178313198,10.092777428965,14.321,5.403,2.516,6.814,9.505811429373,7.396483557363,7.219740747297,4.488,5.356,11.384,,4.939316496849,6.795834002475,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",NA,NA,NA,NA,NA,NA,NA,1.53,10.935,-3.837,4.403,6.286741398073,2.956900190414,3.359493692775,6.683,9.438,37.6,42.689,8.137466453927,17.1887099264,24.357789932375,60.725,55.57,44.072,39.642,57.97130139976,52.957581802633,48.662322316492,25.58,19.8,11.039,9.871,22.539167125421,18.631899552681,15.977122534259,13.591,9.329,18.918,12.56,11.398595945926,13.789876889188,13.436840449883,23.616,3.588,-1.616,-1.638,13.50548115675,8.479931678473,5.59794957284,-6.537,10.622,3.821,14.149,1.36796370231,2.107444455032,5.302149709974,1.816,10.442,11.602,8.999,6.152601924767,7.822700577642,8.160878855044,3.618,0.217,1.623,1.142,1.839397836877,1.77063979211,1.588305535998,10.356,9.972,7.896,8.119,10.15859493561,9.44184202941,9.060106983907,16.057,6.824,5.714,13.167,11.312517786317,9.564228543515,10.594869624231,-3.549,2.214,9.206,-6.571,-0.707082867546,2.279990731346,-0.310824772687,8.517,10.79,-0.207,23.892,9.67076908627,6.493070115969,11.266338496559,12.789,13.616,13.606,8.771,13.213231395548,13.331755924791,11.938522712727,2.564,10.261,2.161,10.126,6.525010585467,5.206276719603,6.666569460686,6.184,3.614,2.287,-6.02,4.815121436962,4.073258278488,0.980192273307,0.083,10.021,13.54,12.773,5.316487395343,7.688223146724,9.138517358215,9.939,-3.139,9.385,6.466,2.744160758645,4.763576098649,5.265439727413,8.898,16.271,5.488,11.82,12.721889535625,10.424972407636,10.840927294828,1.803,6.516,-2.183,0.404,4.324288743485,2.350621681153,1.765191490456,5.734,3.214,13.52,7.698,4.357818579505,7.013744866057,7.216641042172,12.426,7.5,5.469,7.807,9.765083286343,8.44398099671,8.254109393826,8.856,13.85,14.475,16.574,11.497898311886,12.388388226868,13.630627344125,10.806,10.67,9.252,9.661,10.732701295872,10.28178313198,10.092777428965,14.321,5.403,2.516,6.814,9.505811429373,7.396483557363,7.219740747297,4.488,5.356,11.384,,4.939316496849,6.795834002475,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura",NA,NA,NA,NA,NA,NA,NA,0.1,14.804,-10.522,2.655,7.393731689237,1.971216118063,2.169127706886,2.142,-0.575,45.673,37.509,0.701251310681,12.644986858998,19.876483678287,56.314,58.737,44.08,39.039,57.582449204501,52.944989499818,48.30584795141,27.19,18.662,-0.224,5.267,22.693081015905,15.278424375066,12.14698631806,16.344,10.594,28.556,15.935,13.411363638722,17.652502749788,17.148412013998,30.911,2.162,-6.073,-5.921,16.61239676557,9.670899290266,5.140784388185,-16.59,7.931,-4.12,13.557,-5.90532558054,-5.43753946147,-0.499536871645,-0.954,10.634,16.33,13.392,4.838193110609,7.891735112143,9.523782753387,7.453,1.214,2.112,1.087,4.16227493959,3.574943552386,2.810831265744,7.714,10.194,9.628,8.829,8.984943091636,9.166445260194,9.064554566802,24.225,8.904,1.206,12.541,16.285485492951,12.008409621986,12.169034893591,-11.86,-4.939,11.195,-11.749,-8.5010710524,-3.453240506087,-5.961675294425,10.973,17.87,1.573,39.095,14.450643223173,10.649470199616,18.721458767822,20.524,21.551,24.581,14.492,21.057216871814,22.01204214524,19.511963131426,6.281,14.426,2.992,12.181,10.527545044851,8.442686951657,9.633415824851,3.636,4.423,1.166,-6.907,4.060865507785,3.300151825048,-0.026377926374,0.565,12.445,16.917,14.255,6.99980440999,9.551665592312,10.979061055611,16.402,-5.017,15.224,6.065,4.210089187577,7.23493776532,6.869526592559,7.878,19.802,0.542,11.252,14.064029310556,10.073971861835,10.439170843022,-4.343,0.61,-4.48,0.153,-1.644191322119,-2.408571127217,-1.608298480461,4.091,0.412,8.753,3.348,2.040318960131,3.811281931888,3.664115264322,8.655,7.293,4.737,9.041,7.908290888335,7.031873101913,7.668589217819,17.528,18.346,23.153,21.169,17.974185830979,19.37471037948,19.950803544132,14.591,14.541,11.777,11.921,14.563703811553,13.786318525658,13.181344228847,14.203,4.397,1.435,6.031,8.839153686769,6.80992418897,6.56028222746,7.831,3.724,12.838,,5.676006768128,7.540075436615,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales",NA,NA,NA,NA,NA,NA,NA,5.368,5.492,4.16,4.173,5.432867663919,4.947079858663,4.742038447439,14.252,30.016,26.056,54.378,22.535804282433,23.869446153082,31.903611941196,71.412,54.999,48.298,47.484,62.26040987144,56.877764192059,53.982573520197,28.366,21.832,26.325,13.639,24.885800720857,25.410285334858,21.93538855055,8.446,5.836,7.155,5.859,7.089548686946,7.113488769423,6.768262533185,8.59,3.439,0.8,4.708,5.944894706716,4.055667376831,4.233576613638,10.305,15.048,11.501,12.334,12.68314421129,12.262786970403,12.282247039066,6.347,9.337,8.039,3.045,7.877689022137,7.934540602402,6.59405215951,0.542,-2.614,2.056,2.741,-1.095366600276,0.019317392753,0.740474075771,9.977,11.155,5.902,7.054,10.578691591698,8.891032735309,8.394426421784,12.619,8.07,13.766,16.254,10.283257580518,11.505679277473,12.773062143236,11.081,13.826,7.919,0.818,12.462363970557,10.835544653353,8.078950649245,4.64,1.585,-2.139,6.816,3.084471999181,1.263138160507,2.688348590888,-1.62,2.02,4.019,-3.671,0.207031743721,1.491606845109,0.113249208424,0.558,2.867,2.473,10.476,1.738234116039,1.992105427956,4.171758462684,10.298,5.409,4.933,-2.078,7.772092993161,6.786873355455,4.371748719727,1.192,4.91,11.515,9.044,3.071168691506,5.950130935153,6.740952299785,2.488,1.142,0.814,7.124,1.796087830799,1.443721282227,2.927030454518,11.937,10.963,14.769,16.814,11.439266763228,12.626828060412,13.764803907538,14.197,22.711,0.577,0.139,18.529701869975,12.005641941584,8.693975040988,6.907,7.981,21.391,18.363,7.472873085716,12.01473541238,13.646779671402,17.547,8.221,5.12,3.899,12.610619055824,9.961553840717,8.33821177155,-2.014,5.431,3.366,6.935,1.773248180196,2.311777482284,3.498905250881,2.55,3.045,5.92,4.489,2.81074582559,3.872695430097,4.036312055248,16.354,6.969,3.759,9.959,11.397476599811,8.737245633075,9.062864727131,-2.303,10.223,11.007,,4.049790745213,6.361901176088,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113---Aprovechamiento forestal",NA,NA,NA,NA,NA,NA,NA,-4.118,3.178,2.838,14.294,-0.529255255399,0.581306195196,3.951965243466,1.78,7.674,18.527,28.498,4.787173682451,9.420380761715,14.576186923073,63.462,39.549,39.449,21.873,50.924952444188,46.733213135938,39.198245285333,11.027,22.441,17.133,34.872,16.560081027987,16.759102066452,21.565624535362,22.881,21.858,32.528,20.233,22.360261659741,25.901119577473,24.232292045121,27.492,21.642,10.807,1.528,24.525295678916,19.496443686481,14.376631444605,19.811,14.392,15.49,29.385,17.126767431244,16.570370078065,19.811554279125,3.773,14.405,6.923,2.684,8.917082384102,8.245447036128,6.726300289586,-7.773,0.977,-1.04,-7.274,-3.326292922697,-2.565699730921,-3.802944187299,25.786,-1.773,-6.292,5.34,11.157206964811,5.261654711506,5.281550957389,-15.222,-5.633,5.173,8.889,-10.724015727648,-5.94266585839,-2.183617039374,-4.924,2.432,2.742,6.828,-1.276618822245,0.075077408907,1.980318564828,14.203,13.307,-0.879,-7.539,13.742325680655,8.693659380691,3.896058580599,22.684,5.181,-1.777,14.142,13.713942701277,8.836371335136,10.231949466036,-13.519,6.006,3.143,-9.925,-4.263727416263,-2.158993706432,-4.274179275848,5.829,-12.487,-4.734,-16.743,-3.784537231452,-4.06896663533,-7.316990243962,-19.795,4.471,4.525,23.501,-8.209933159534,-4.421492751238,2.006458989053,1.104,3.302,2.661,-0.734,2.298335202443,2.416406597773,1.538457207751,1.731,1.747,1.852,-1.439,1.740195152097,1.776726946991,0.900616431896,2.765,-4.782,-3.933,-1.624,-1.375945140278,-2.21057570925,-2.05440573647,4.189,3.469,7.99,0.468,3.807582962699,5.148619571824,3.897408130249,9.358,4.237,3.836,6.577,6.653805816676,5.726099558208,5.945978828066,-0.051,5.323,12.464,16.257,2.722563898212,5.872896727834,8.573273105595,19.24,15.332,10.784,1.75,17.171890467795,14.977681335508,11.294346439028,7.32,4.737,6.943,13.575,5.974351508793,6.294965866908,8.148278004322,7.631,6.563,5.949,,7.081458091477,6.704405691434,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura",NA,NA,NA,NA,NA,NA,NA,6.345,2.39,7.464,23.718,4.179115162158,5.213722305126,9.882334100511,35.752,28.941,68.429,53.124,32.086650750078,43.776740748245,46.431938935103,44.406,35.661,18.998,14.455,39.812347382949,31.96911947941,26.766647225873,0.306,17.884,20.199,17.394,9.265505726549,12.980553929316,14.164326995661,0.619,4.149,1.422,17.713,2.560342148054,2.149013155267,6.441302182087,26.57,0.708,22.384,9.228,12.127797369508,15.808832632848,13.801721186401,6.712,7.701,10.815,15.642,7.207944516502,8.576023123231,10.644474367752,0.888,10.743,3.77,7.861,5.854051131963,5.047356334229,5.908127210175,-4.114,10.046,-1.802,2.904,3.350549398614,1.380078820419,1.8549399616,23.451,11.77,25.045,2.793,16.894377326078,19.913491219077,14.523823178208,-17.005,-15.554,-14.391,2.555,-16.226286807448,-15.517499200579,-10.411102106348,13.398,13.04,10.115,-10.452,13.204157102998,11.995021347803,4.734532480164,-2.141,-7.757,-0.471,12.65,-5.174869801789,-3.36447523907,1.064414807668,21.568,7.122,1.183,6.956,13.976189414173,8.905361024896,8.304446924191,-18.946,6.394,-14.484,-5.139,-6.430695522437,-9.396194970062,-8.10026489438,22.539,-4.273,1.641,-4.827,7.481653129737,5.451518153192,2.221743999585,14.367,16.053,-6.181,-2.59,15.209891694667,8.04367713453,4.932763932407,-33.184,-11.706,20.8,15.618,-22.362376425044,-9.805950059484,-2.901262058437,13.707,10.415,-2.586,-6.363,11.821023753367,6.207538543726,2.142561053177,6.108,2.119,11.828,19.454,3.851441718752,6.701897605602,10.482273214605,32.97,16.606,5.447,7.64,23.866074396709,16.967577348755,13.977922809,39.826,8.168,29.199,33.192,23.245637978039,25.255721687101,27.658157999624,-9.827,27.595,20.809,12.473,7.374951652896,12.053633422213,12.186078066135,12.971,0.683,2.092,4.893,6.258831835079,4.694345592259,4.757118509652,0.222,15.619,2.662,-11.805,8.190952662695,6.166425280085,0.468797329221,-1.121,-9.729,-2.543,,-5.882131908667,-4.699823680941,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|115---Servicios relacionados con las actividades agropecuarias y forestales",NA,NA,NA,NA,NA,NA,NA,43.274,19.579,49.394,64.994,32.637789911651,38.373655913979,46.359539502253,10.782,10.048,218.384,176.491,10.485228233472,87.319460529757,117.476329878419,52.492,101.341,24.076,-6.329,72.181021104349,41.963869022214,21.199847199568,9.561,-18.273,-12.645,78.39,-3.557914761234,-8.546734775303,20.342048388065,17.003,21.935,49.189,-42.216,18.973009522251,34.8186085952,-3.12707212179,27.332,7.747,-41.529,-23.682,19.314598891572,-15.993828806348,-18.25274383375,-24.216,-4.718,-18.021,9.961,-17.007733546115,-17.416922117028,-9.907107740847,2.913,3.896,5.066,-2.851,3.330713410956,4.026265824864,1.723891794252,-7.814,9.719,-33.081,-6.487,-0.331852145364,-13.594351449241,-11.321716616259,216.507,224.829,245.343,210.252,220.416870771481,228.235001754181,222.170905168237,-5.059,-0.576,29.667,22.105,-2.923874895865,7.830376905571,12.465413949907,3.165,3.918,3.202,1.762,3.532436586977,3.401498216286,2.823357008386,28.499,12.323,-1.517,4.941,20.579388095451,11.828109459692,9.42524251645,5.002,7.599,-7.465,13.583,6.186193707859,1.424887353801,5.493035073,-14.962,6.174,-7.351,7.487,-5.194174631911,-5.880343535813,-1.064818048212,10.642,-11.484,2.75,-23.469,-0.80915449666,0.30560014368,-8.999779871111,5.524,12.514,3.724,38.409,8.752043736417,7.138693905033,17.431513305295,6.797,-0.012,17.524,43.726,3.543451580264,7.88660063019,21.790949572496,-7.765,7.019,12.899,0.761,-0.943530442799,3.740723827842,2.376354615447,23.394,10.913,-13.946,-15.441,17.172156542507,5.712492543732,-3.819588844592,47.599,0.375,3.571,23.277,25.315159453383,18.796734162986,20.571415371329,-2.039,-0.138,-5.677,-20.314,-1.320431588408,-2.459212836384,-9.691315509976,-42.282,22.453,12.777,39.396,-17.521331212673,-9.863790526667,7.741704558868,22.631,8.072,21.681,73.041,14.363208211236,16.677326105576,42.740175306352,33.856,7.18,0.86,12.686,19.540971872352,13.38028424094,12.990864745388,-9.004,-1.741,-1.007,,-5.509170816344,-4.188275108566,
