Descriptores,1993|T1,1993|T2,1993|T3,1993|T4,1993|6 Meses,1993|9 Meses,1993|Anual,1994|T1,1994|T2,1994|T3,1994|T4,1994|6 Meses,1994|9 Meses,1994|Anual,1995|T1,1995|T2,1995|T3,1995|T4,1995|6 Meses,1995|9 Meses,1995|Anual,1996|T1,1996|T2,1996|T3,1996|T4,1996|6 Meses,1996|9 Meses,1996|Anual,1997|T1,1997|T2,1997|T3,1997|T4,1997|6 Meses,1997|9 Meses,1997|Anual,1998|T1,1998|T2,1998|T3,1998|T4,1998|6 Meses,1998|9 Meses,1998|Anual,1999|T1,1999|T2,1999|T3,1999|T4,1999|6 Meses,1999|9 Meses,1999|Anual,2000|T1,2000|T2,2000|T3,2000|T4,2000|6 Meses,2000|9 Meses,2000|Anual,2001|T1,2001|T2,2001|T3,2001|T4,2001|6 Meses,2001|9 Meses,2001|Anual,2002|T1,2002|T2,2002|T3,2002|T4,2002|6 Meses,2002|9 Meses,2002|Anual,2003|T1,2003|T2,2003|T3,2003|T4,2003|6 Meses,2003|9 Meses,2003|Anual,2004|T1,2004|T2,2004|T3,2004|T4,2004|6 Meses,2004|9 Meses,2004|Anual,2005|T1,2005|T2,2005|T3,2005|T4,2005|6 Meses,2005|9 Meses,2005|Anual,2006|T1,2006|T2,2006|T3,2006|T4,2006|6 Meses,2006|9 Meses,2006|Anual,2007|T1,2007|T2,2007|T3,2007|T4,2007|6 Meses,2007|9 Meses,2007|Anual,2008|T1,2008|T2,2008|T3,2008|T4,2008|6 Meses,2008|9 Meses,2008|Anual,2009|T1,2009|T2,2009|T3,2009|T4,2009|6 Meses,2009|9 Meses,2009|Anual,2010|T1,2010|T2,2010|T3,2010|T4,2010|6 Meses,2010|9 Meses,2010|Anual,2011|T1,2011|T2,2011|T3,2011|T4,2011|6 Meses,2011|9 Meses,2011|Anual,2012|T1,2012|T2,2012|T3,2012|T4,2012|6 Meses,2012|9 Meses,2012|Anual,2013|T1,2013|T2,2013|T3,2013|T4,2013|6 Meses,2013|9 Meses,2013|Anual,2014|T1,2014|T2,2014|T3,2014|T4,2014|6 Meses,2014|9 Meses,2014|Anual,2015|T1,2015|T2,2015|T3,2015|T4,2015|6 Meses,2015|9 Meses,2015|Anual,2016|T1,2016|T2,2016|T3,2016|T4,2016|6 Meses,2016|9 Meses,2016|Anual,2017|T1<R>,2017|T2<R>,2017|T3<R>,2017|T4<R>,2017|6 Meses<R>,2017|9 Meses<R>,2017|Anual<R>,2018|T1<R>,2018|T2<R>,2018|T3<R>,2018|T4<R>,2018|6 Meses<R>,2018|9 Meses<R>,2018|Anual<R>,2019|T1<R>,2019|T2<R>,2019|T3<P>,2019|T4,2019|6 Meses,2019|9 Meses,2019|Anual
"B.1bP---Producto interno bruto<C1,C2>",10008894.656,10171035.401,10066258.408,10416096.243,10089965.029,10082062.822,10165571.177,10343388.473,10772526.22,10602752.89,10952773.417,10557957.347,10572889.194,10667860.25,10189745.494,9795719.008,9802904.373,10198513.275,9992732.251,9929456.292,9996720.538,10426430.9,10569227.494,10583112.094,11116526.635,10497829.197,10526256.829,10673824.281,10862931.984,11460068.088,11408200.857,11887380.119,11161500.036,11243733.643,11404645.262,11827638.049,12034464.22,11972371.593,12139816.575,11931051.135,11944824.621,11993572.609,12100154.542,12315219.067,12325229.128,12554685.81,12207686.805,12246867.579,12323822.137,12725022.04,12994568.9,13008792.255,13003302.172,12859795.47,12909461.065,12932921.342,12796119.512,12967530.187,12857408.64,12901429.2,12881824.85,12873686.113,12880621.885,12415541.463,13112362.78,12889950.082,13084104.345,12763952.122,12805951.442,12875489.668,12803326.702,13182931.646,12954912.312,13305703.424,12993129.174,12980390.22,13061718.521,13252637.277,13732337.644,13438257.153,13872028.155,13492487.461,13474410.691,13573815.057,13354792.354,14104834.676,13782142.603,14306520.447,13729813.515,13747256.544,13887072.52,14107961.114,14700503.814,14435867.217,14800896.843,14404232.464,14414777.382,14511307.247,14393731.478,14993341.591,14783297.427,15204933.405,14693536.535,14723456.832,14843825.975,14563429.216,15386331.873,14979493.16,15125056.475,14974880.545,14976418.083,15013577.681,13752157.468,14012946.412,14231940.399,14882949.237,13882551.94,13999014.76,14219998.379,14371712.099,14998393.281,14921450.002,15499623.401,14685052.69,14763851.794,14947794.696,14902786.4,15413082.337,15526005.353,16139460.314,15157934.369,15280624.697,15495333.601,15619687.194,16027316.825,15952746.023,16639144.561,15823502.01,15866583.347,16059723.651,15720278.469,16362711.037,16186046.28,16839712.526,16041494.753,16089678.595,16277187.078,16135555.599,16736970.616,16645075.761,17417017.092,16436263.108,16505867.325,16733654.767,16697180.28,17239433.696,17309618.497,17889191.247,16968306.988,17082077.491,17283855.93,17197681.41,17809346.28,17666882.887,18473731.77,17503513.845,17557970.192,17786910.587,17791095.458,18149132.22,17943735.584,18770646.686,17970113.839,17961321.087,18163652.487,18072389.055,18701099.826,18395545.059,19037446.164,18386744.441,18389677.98,18551620.026,18282318.669,18523809.338,18348245.508,,18403064.004,18384791.172,
"D.21-D.31---Impuestos sobre los productos, netos",388593.508,388084.195,379390.118,422663.999,388338.852,385355.94,394682.955,409249.729,428658.303,430235.414,433173.579,418954.016,422714.482,425329.256,409332.866,363921.863,374861.067,398450.151,386627.365,382705.265,386641.487,406708.476,393786.26,400158.716,439556.964,400247.368,400217.817,410052.604,415296.997,434107.935,443297.627,468735.333,424702.466,430900.853,440359.473,455705.144,458753.157,454403.686,467280.558,457229.151,456287.329,459035.636,465406.43,478544.294,479013.732,491472.835,471975.362,474321.485,478609.323,482883.855,483991.158,508508.66,478291.611,483437.507,491794.558,488418.821,503815.049,500219.34,491740.591,474788.124,502017.195,498591.66,492640.776,476020.185,503406.877,501488.071,502351.61,489713.531,493638.378,495816.686,478501.139,506687.293,508065.114,517199.858,492594.216,497751.182,502613.351,502742.871,531489.007,530276.712,528002.862,517115.939,521502.863,523127.863,517695.971,550407.592,541645.338,547653.691,534051.782,536582.967,539350.648,557034.356,589660.207,583737.608,589261.825,573347.282,576810.724,579923.499,568981.875,601369.211,599747.005,587348.854,585175.543,590032.697,589361.736,583764.113,630815.346,619585.758,609119.003,607289.73,611388.406,610821.055,544393.534,547809.245,584418.539,609184.286,546101.39,558873.773,571451.401,564548.737,598643.301,603916.279,614467.807,581596.019,589036.106,595394.031,589760.54,616867.925,624806.205,646713.366,603314.233,610478.223,619537.009,609391.278,623760.69,634629.6,647143.023,616575.984,622593.856,628731.148,606599.235,634088.04,643804.559,653777.098,620343.638,628163.945,634567.233,643344.85,665953.978,675559.117,707242.763,654649.414,661619.315,673025.177,667170.916,700764.525,723206.403,759202.196,683967.721,697047.281,712586.01,718358.303,753142.616,775183.19,809978.03,735750.46,748894.703,764165.535,759098.075,788993.969,798465.348,825939.324,774046.022,782185.797,793124.179,774799.422,804276.212,819949.337,849708.077,789537.817,799674.99,812183.262,791857.934,807548.051,817382.293,,799702.993,805596.093,
"B.1bV---Valor agregado bruto<C2,C3>",9620301.148,9782951.206,9686868.29,9993432.244,9701626.177,9696706.881,9770888.222,9934138.744,10343867.917,10172517.476,10519599.838,10139003.331,10150174.712,10242530.994,9780412.628,9431797.145,9428043.306,9800063.124,9606104.887,9546751.026,9610079.051,10019722.424,10175441.234,10182953.378,10676969.671,10097581.829,10126039.012,10263771.677,10447634.987,11025960.153,10964903.23,11418644.786,10736797.57,10812832.79,10964285.789,11371932.905,11575711.063,11517967.907,11672536.017,11473821.984,11488537.292,11534536.973,11634748.112,11836674.773,11846215.396,12063212.975,11735711.443,11772546.094,11845212.814,12242138.185,12510577.742,12500283.595,12525010.561,12376357.964,12417666.507,12444502.521,12292304.463,12467310.847,12365668.049,12426641.076,12379807.655,12375094.453,12387981.109,11939521.278,12608955.903,12388462.011,12581752.735,12274238.591,12312313.064,12379672.982,12324825.563,12676244.353,12446847.198,12788503.566,12500534.958,12482639.038,12559105.17,12749894.406,13200848.637,12907980.441,13344025.293,12975371.522,12952907.828,13050687.194,12837096.383,13554427.084,13240497.265,13758866.756,13195761.734,13210673.577,13347721.872,13550926.758,14110843.607,13852129.609,14211635.018,13830885.183,13837966.658,13931383.748,13824749.603,14391972.38,14183550.422,14617584.551,14108360.992,14133424.135,14254464.239,13979665.103,14755516.527,14359907.402,14515937.472,14367590.815,14365029.677,14402756.626,13207763.934,13465137.167,13647521.86,14273764.951,13336450.551,13440140.987,13648546.978,13807163.362,14399749.98,14317533.723,14885155.594,14103456.671,14174815.688,14352400.665,14313025.86,14796214.412,14901199.148,15492746.948,14554620.136,14670146.473,14875796.592,15010295.916,15403556.135,15318116.423,15992001.538,15206926.026,15243989.491,15430992.503,15113679.234,15728622.997,15542241.721,16185935.428,15421151.116,15461514.651,15642619.845,15492210.749,16071016.638,15969516.644,16709774.329,15781613.694,15844248.01,16060629.59,16030009.364,16538669.171,16586412.094,17129989.051,16284339.268,16385030.21,16571269.92,16479323.107,17056203.664,16891699.697,17663753.74,16767763.386,16809075.489,17022745.052,17031997.383,17360138.251,17145270.236,17944707.362,17196067.817,17179135.29,17370528.308,17297589.633,17896823.614,17575595.722,18187738.087,17597206.624,17590002.99,17739436.764,17490460.735,17716261.287,17530863.215,,17603361.011,17579195.079,
Actividades primarias,356222.154,364092.188,352560.802,406012.52,360157.171,357625.048,369721.916,349532.754,388452.542,326544.905,416051.623,368992.648,354843.4,370145.456,345778.239,364700.336,358865.501,432118.933,355239.288,356448.025,375365.752,381614.088,381038.878,355982.908,441739.815,381326.483,372878.625,390093.922,381977.532,392892.867,343451.199,441757.07,387435.2,372773.866,390019.667,400472.632,395869.739,374599.339,436960.389,398171.186,390313.903,401975.525,441942.193,389870.927,363161.193,434696.067,415906.56,398324.771,407417.595,422422.225,413519.382,346637.289,461258.863,417970.804,394192.965,410959.44,408857.246,443463.645,381685.67,497817.126,426160.446,411335.52,432955.922,419345.272,438028.126,378747.268,480003.538,428686.699,412040.222,429031.051,434335.975,453703.146,393341.495,500491.525,444019.561,427126.872,445468.035,464247.177,457607.511,379136.827,522891.133,460927.344,433663.838,455970.662,434627.716,433367.749,396089.28,493309.991,433997.733,421361.582,439348.684,451479.292,474684.487,390257.06,551322.741,463081.89,438806.946,466935.895,470659.957,502518.25,409410.469,564140.224,486589.104,460862.892,486682.225,455913.853,512042.794,401706.694,576196.515,483978.324,456554.447,486464.964,450978.958,504523.226,397485.706,551636.554,477751.092,450995.963,476156.111,442771.573,533488.28,420307.476,555548.795,488129.927,465522.443,488029.031,439330.521,466686.624,421549.292,551079.843,453008.573,442522.146,469661.57,455698.263,524433.554,422535.502,595394.882,490065.909,467555.773,499515.55,459058.943,543463.989,427915.66,613184.183,501261.466,476812.864,510905.694,483375.932,558488.843,453458.062,625562.227,520932.388,498440.946,530221.266,509068.798,566936.289,453704.073,635045.765,538002.544,509903.053,541188.731,513663.845,585242.019,475229.704,666855.821,549452.932,524711.856,560247.847,540676.838,601142.684,482116.474,692687.524,570909.761,541311.999,579155.88,568861.742,617178.178,486905.355,698863.42,593019.96,557648.425,592952.174,577206.498,615696.809,513035.738,,596451.654,568646.348,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",356222.154,364092.188,352560.802,406012.52,360157.171,357625.048,369721.916,349532.754,388452.542,326544.905,416051.623,368992.648,354843.4,370145.456,345778.239,364700.336,358865.501,432118.933,355239.288,356448.025,375365.752,381614.088,381038.878,355982.908,441739.815,381326.483,372878.625,390093.922,381977.532,392892.867,343451.199,441757.07,387435.2,372773.866,390019.667,400472.632,395869.739,374599.339,436960.389,398171.186,390313.903,401975.525,441942.193,389870.927,363161.193,434696.067,415906.56,398324.771,407417.595,422422.225,413519.382,346637.289,461258.863,417970.804,394192.965,410959.44,408857.246,443463.645,381685.67,497817.126,426160.446,411335.52,432955.922,419345.272,438028.126,378747.268,480003.538,428686.699,412040.222,429031.051,434335.975,453703.146,393341.495,500491.525,444019.561,427126.872,445468.035,464247.177,457607.511,379136.827,522891.133,460927.344,433663.838,455970.662,434627.716,433367.749,396089.28,493309.991,433997.733,421361.582,439348.684,451479.292,474684.487,390257.06,551322.741,463081.89,438806.946,466935.895,470659.957,502518.25,409410.469,564140.224,486589.104,460862.892,486682.225,455913.853,512042.794,401706.694,576196.515,483978.324,456554.447,486464.964,450978.958,504523.226,397485.706,551636.554,477751.092,450995.963,476156.111,442771.573,533488.28,420307.476,555548.795,488129.927,465522.443,488029.031,439330.521,466686.624,421549.292,551079.843,453008.573,442522.146,469661.57,455698.263,524433.554,422535.502,595394.882,490065.909,467555.773,499515.55,459058.943,543463.989,427915.66,613184.183,501261.466,476812.864,510905.694,483375.932,558488.843,453458.062,625562.227,520932.388,498440.946,530221.266,509068.798,566936.289,453704.073,635045.765,538002.544,509903.053,541188.731,513663.845,585242.019,475229.704,666855.821,549452.932,524711.856,560247.847,540676.838,601142.684,482116.474,692687.524,570909.761,541311.999,579155.88,568861.742,617178.178,486905.355,698863.42,593019.96,557648.425,592952.174,577206.498,615696.809,513035.738,,596451.654,568646.348,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura",216828.345,209610.852,179794.431,245271.568,213219.599,202077.876,212876.299,212306.946,239299.868,160516.087,253368.723,225803.407,204040.967,216372.906,211220.718,218042.487,200452.948,267326.592,214631.603,209905.384,224260.686,239377.857,232054.849,199909.59,278341.496,235716.353,223780.765,237420.948,242235.218,246195.668,181899.921,273977.717,244215.443,223443.602,236077.131,259091.826,246345.689,210601.863,265141.87,252718.758,238679.793,245295.312,290788.295,236804.459,194539.86,261539.203,263796.377,240710.871,245917.954,264760.3,255820.354,175977.076,279315.169,260290.327,232185.91,243968.225,251039.078,279161.597,204001.42,312805.893,265100.338,244734.032,261751.997,262869.359,271536.287,198007.914,295131.46,267202.823,244137.853,256886.255,268153.296,281948.846,209772.026,311558.432,275051.071,253291.389,267858.15,296409.259,284990.332,197062.805,329369.228,290699.796,259487.465,276957.906,269277.674,259142.768,213636.04,297838.683,264210.221,247352.161,259973.791,278150.762,295266.742,203064.835,350180.588,286708.752,258827.446,281665.732,290124.801,318026.296,219214.709,358630.795,304075.549,275788.602,296499.15,280898.685,324001.413,208209.972,373354.429,302450.049,271036.69,296616.125,271685.76,316775.308,197786.569,347284.847,294230.534,262082.546,283383.121,259249.908,339784.453,221477.436,347066.323,299517.181,273503.932,291894.53,259059.324,275232.58,217226.988,337679.036,267145.952,250506.297,272299.482,270150.147,324777.617,219423.795,383696.049,297463.882,271450.52,299511.902,274353.109,348952.177,228872.388,402145.858,311652.643,284059.225,313580.883,293549.635,357836.995,249486.089,409017.489,325693.315,300290.906,327472.552,311458.06,364129.213,243288.729,411853.426,337793.637,306292.001,332682.357,320241.654,381068.493,263509.496,440324.925,350655.074,321606.548,351286.142,343346.497,394238.269,263779.004,459793.466,368792.383,333787.923,365289.309,366978.23,404565.997,265676.561,462865.208,385772.114,345740.263,375021.499,372142.326,400110.164,287091.315,,386126.245,353114.602,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales",111882.861,126136.326,146415.543,133374.962,119009.594,128144.91,129452.423,110838.502,121470.018,138862.954,130864.106,116154.26,123723.825,125508.895,108193.759,120175.55,129176.802,132726.988,114184.655,119182.037,122568.275,112401.292,120956.258,125604.36,130745.81,116678.775,119653.97,122426.93,110775.887,117207.908,130642.211,133307.082,113991.898,119542.002,122983.272,113610.004,121004.064,132968.191,137348.873,117307.034,122527.42,126232.783,120651.895,124100.605,136399.66,140862.044,122376.25,127050.72,130503.551,125182.649,127831.443,138184.547,147532.413,126507.046,130399.546,134682.763,129196.302,134598.611,145847.909,149624.878,131897.457,136547.607,139816.925,130167.847,136765.312,151531.22,153089.081,133466.58,139488.126,142888.365,135158.588,141757.023,152395.672,153669.013,138457.806,143103.761,145745.074,139658.968,142935.846,151864.245,157293.761,141297.407,144819.686,147938.205,139818.632,145515.662,152335.984,159422.822,142667.147,145890.093,149273.275,145029.442,149220.499,156858.105,167162.726,147124.971,150369.349,154567.693,148897.737,154650.554,162162.742,168868.787,151774.146,155237.011,158644.955,148521.142,156484.825,165486.816,169884.117,152502.984,156830.928,160094.225,151255.522,158859.098,171169.955,172115.936,155057.31,160428.192,163350.128,153805.989,161959.1,171035.293,173898.839,157882.545,162266.794,165174.805,155611.727,161180.816,175340.386,176920.951,158396.272,164044.31,167263.47,159268.167,167906.915,174035.776,176774.946,163587.541,167070.286,169496.451,157948.886,163819.869,170149.23,175032.711,160884.378,163972.662,166737.674,158820.947,167189.683,172852.126,178525.52,163005.315,166287.585,169347.069,161223.045,169515.927,177192.252,181153.328,165369.486,169310.408,172271.138,160605.622,168346.155,175603.192,181553.267,164475.889,168184.99,171527.059,162024.726,169972.396,181421.474,187008.112,165998.561,171139.532,175106.677,166408.067,173601.804,183937.523,191881.829,170004.936,174649.131,178957.306,170789.23,179260.98,189970.001,,175025.105,180006.737,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113---Aprovechamiento forestal",17803.113,17044.255,16857.712,16537.041,17423.684,17235.027,17060.53,16421.246,17044.734,17445.568,19381.712,16732.99,16970.516,17573.315,15639.452,16018.094,16474.78,17547.41,15828.773,16044.109,16419.934,17892.076,16046.146,17504.475,18478.128,16969.111,17147.566,17480.206,17994.183,17638.068,18198.666,20328.724,17816.126,17943.639,18539.91,18404.354,18467.336,19707.114,21638.244,18435.845,18859.601,19554.262,20233.189,19730.009,20344.093,19454.265,19981.599,20102.43,19940.389,22713.71,20702.64,20855.539,21426.527,21708.175,21423.963,21424.604,19404.316,19828.888,19862.321,21037.402,19616.602,19698.508,20033.232,17656.795,19274.91,18566.82,18497.782,18465.853,18499.508,18499.077,20778.701,18993.186,17493.066,19671.299,19885.944,19088.318,19234.063,18232.808,18160.196,17416.151,20231.969,18196.502,17936.385,18510.281,15859.892,17203.616,17159.631,22043.797,16531.754,16741.046,18066.734,17773.863,18646.515,16832.391,19338.183,18210.189,17750.923,18147.738,20921.881,19293.312,16005.849,21087.87,20107.597,18740.347,19327.228,17591.421,19890.78,16950.071,18445.38,18741.101,18144.091,18219.413,17989.021,18118,17133.134,17884.052,18053.511,17746.718,17781.052,16480.307,18545.79,16763.445,19384.766,17513.049,17263.181,17793.577,15412.435,18743.603,16524.905,19618.418,17078.019,16893.648,17574.84,16432.023,19437.898,16681.185,18686.067,17934.961,17517.035,17809.293,16369.883,18621.882,16150.834,18727.733,17495.883,17047.533,17467.583,16672.624,18524.094,16852.314,18172.577,17598.359,17349.677,17555.402,18022.121,18939.035,16943.422,18599.241,18480.578,17968.193,18125.955,17238.098,19378.812,18514.33,20826.443,18308.455,18377.08,18989.421,19779.655,21528.883,19868.733,20856.748,20654.269,20392.424,20508.505,20611.241,21839.192,20420.456,21590.959,21225.217,20956.963,21115.462,20346.435,21395.712,20031.173,,20871.074,20591.107,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura",9059.271,10802.53,8910.942,10098.857,9930.901,9590.914,9717.9,9076.5,10053.526,8866.496,11304.266,9565.013,9332.174,9825.197,9944.043,9957.463,11250.226,12638.297,9950.753,10383.911,10947.507,11054.075,11250.211,11159.956,12638.518,11152.143,11154.747,11525.69,10167.329,11331.423,11384.237,11620.227,10749.376,10960.996,11125.804,8508.13,9498.176,9334.452,11388.193,9003.153,9113.586,9682.238,9274.978,8709.336,10598.927,11678.03,8992.157,9527.747,10065.318,9080.267,8703.817,10698.028,11932.943,8892.042,9494.037,10103.764,8581.79,9441.6,11037.056,13161.878,9011.695,9686.815,10555.581,8072.208,9995.069,10191.818,12346.026,9033.639,9419.698,10151.28,9060.017,9941.897,12520.979,13896.471,9500.957,10507.631,11354.841,8806.425,10439.962,11356.067,13948.262,9623.194,10200.818,11137.679,8551.982,10479.621,11483.686,12004.875,9515.802,10171.763,10630.041,9118.069,10437.982,12125.809,12596.816,9778.026,10560.62,11069.669,9363.509,9376.604,10817.439,13344.364,9370.057,9852.517,10725.479,7767.779,10440.415,9957.552,12211.062,9104.097,9388.582,10094.202,8845.599,9682.376,10220.651,12544.634,9263.988,9582.875,10323.315,11854.634,12001.132,9896.216,12942.991,11927.883,11250.661,11673.743,7976.184,10407.556,11188.011,13566.117,9191.87,9857.25,10784.467,8594.535,11068.006,11015.806,13071.033,9831.271,10226.116,10937.345,8829.022,10749.306,11521.894,14624.798,9789.164,10366.741,11431.255,12057.654,13627.386,13082.112,16721.912,12842.52,12922.384,13872.266,16262.952,13047.34,15143.234,20957.37,14655.146,14817.842,16352.724,14390.96,14960.714,16409.492,20916.246,14675.837,15253.722,16669.353,14124.638,13884.97,15683.231,19716.932,14004.804,14564.28,15852.443,13153.93,15615.071,15532.586,16901.873,14384.501,14767.196,15300.865,12405.436,13480.729,14648.246,,12943.083,13511.47,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|115---Servicios relacionados con las actividades agropecuarias y forestales",648.564,498.226,582.174,730.092,573.395,576.321,614.764,889.561,584.397,853.799,1132.816,736.979,775.919,865.143,780.267,506.742,1510.745,1879.645,643.505,932.585,1169.35,888.788,731.414,1804.527,1535.862,810.101,1141.576,1240.148,804.916,519.8,1326.164,2523.32,662.358,883.627,1293.55,858.318,554.475,1987.719,1443.208,706.397,1133.504,1210.93,993.836,526.518,1278.652,1162.526,760.177,933.002,990.383,685.299,461.126,922.099,1051.812,573.213,689.508,780.084,635.76,432.949,936.964,1187.075,534.355,668.558,798.187,579.063,456.548,449.496,939.189,517.806,495.036,606.074,1185.373,1062.194,1159.752,1696.31,1123.784,1135.773,1275.907,1139.717,1081.175,1437.559,2047.913,1110.446,1219.484,1426.591,1119.536,1026.082,1473.939,1999.814,1072.809,1206.519,1404.843,1407.156,1112.749,1375.919,2044.427,1259.953,1298.608,1485.063,1352.029,1171.483,1209.731,2208.409,1261.756,1244.414,1485.413,1134.826,1225.361,1102.283,2301.526,1180.094,1154.157,1440.999,1203.055,1088.444,1175.395,1807.086,1145.75,1155.631,1318.495,1380.736,1197.805,1135.086,2255.876,1289.271,1237.876,1492.376,1270.852,1122.069,1269.002,3295.321,1196.461,1220.641,1739.311,1253.392,1243.118,1378.94,3166.786,1248.255,1291.817,1760.559,1558.043,1320.754,1221.315,2653.083,1439.399,1366.704,1688.299,2275.073,1310.685,1185.421,3124.729,1792.879,1590.393,1973.977,2102.619,1304.773,1136.437,2482.398,1703.696,1514.61,1756.557,1187.511,1487.845,1193.193,3234.939,1337.678,1289.516,1775.872,1401.322,1518.165,1364.031,5312.266,1459.744,1427.839,2398.946,1710.274,1556.114,1338.229,5623.551,1633.194,1534.872,2557.042,1523.071,1449.223,1295.003,,1486.147,1422.432,
