Descriptores,1993|T1,1993|T2,1993|T3,1993|T4,1993|6 Meses,1993|9 Meses,1993|Anual,1994|T1,1994|T2,1994|T3,1994|T4,1994|6 Meses,1994|9 Meses,1994|Anual,1995|T1,1995|T2,1995|T3,1995|T4,1995|6 Meses,1995|9 Meses,1995|Anual,1996|T1,1996|T2,1996|T3,1996|T4,1996|6 Meses,1996|9 Meses,1996|Anual,1997|T1,1997|T2,1997|T3,1997|T4,1997|6 Meses,1997|9 Meses,1997|Anual,1998|T1,1998|T2,1998|T3,1998|T4,1998|6 Meses,1998|9 Meses,1998|Anual,1999|T1,1999|T2,1999|T3,1999|T4,1999|6 Meses,1999|9 Meses,1999|Anual,2000|T1,2000|T2,2000|T3,2000|T4,2000|6 Meses,2000|9 Meses,2000|Anual,2001|T1,2001|T2,2001|T3,2001|T4,2001|6 Meses,2001|9 Meses,2001|Anual,2002|T1,2002|T2,2002|T3,2002|T4,2002|6 Meses,2002|9 Meses,2002|Anual,2003|T1,2003|T2,2003|T3,2003|T4,2003|6 Meses,2003|9 Meses,2003|Anual,2004|T1,2004|T2,2004|T3,2004|T4,2004|6 Meses,2004|9 Meses,2004|Anual,2005|T1,2005|T2,2005|T3,2005|T4,2005|6 Meses,2005|9 Meses,2005|Anual,2006|T1,2006|T2,2006|T3,2006|T4,2006|6 Meses,2006|9 Meses,2006|Anual,2007|T1,2007|T2,2007|T3,2007|T4,2007|6 Meses,2007|9 Meses,2007|Anual,2008|T1,2008|T2,2008|T3,2008|T4,2008|6 Meses,2008|9 Meses,2008|Anual,2009|T1,2009|T2,2009|T3,2009|T4,2009|6 Meses,2009|9 Meses,2009|Anual,2010|T1,2010|T2,2010|T3,2010|T4,2010|6 Meses,2010|9 Meses,2010|Anual,2011|T1,2011|T2,2011|T3,2011|T4,2011|6 Meses,2011|9 Meses,2011|Anual,2012|T1,2012|T2,2012|T3,2012|T4,2012|6 Meses,2012|9 Meses,2012|Anual,2013|T1,2013|T2,2013|T3,2013|T4,2013|6 Meses,2013|9 Meses,2013|Anual,2014|T1,2014|T2,2014|T3,2014|T4,2014|6 Meses,2014|9 Meses,2014|Anual,2015|T1,2015|T2,2015|T3,2015|T4,2015|6 Meses,2015|9 Meses,2015|Anual,2016|T1,2016|T2,2016|T3,2016|T4,2016|6 Meses,2016|9 Meses,2016|Anual,2017|T1<R>,2017|T2<R>,2017|T3<R>,2017|T4<R>,2017|6 Meses<R>,2017|9 Meses<R>,2017|Anual<R>,2018|T1<R>,2018|T2<R>,2018|T3<R>,2018|T4<R>,2018|6 Meses<R>,2018|9 Meses<R>,2018|Anual<R>,2019|T1<R>,2019|T2<R>,2019|T3<P>,2019|T4,2019|6 Meses,2019|9 Meses,2019|Anual
"B.1bP---Producto interno bruto<C1,C2>",NA,NA,NA,NA,NA,NA,NA,3.341965606557,5.913761925761,5.32963152996,5.152383018356,4.638195639479,4.868312969931,4.941080675687,-1.485422107089,-9.067577948304,-7.543781556527,-6.886476267548,-5.353545931502,-6.085686610289,-6.291230821101,2.322780349513,7.896393162853,7.958944526164,9.001443006897,5.054643047696,6.010404995496,6.77325869445,4.186486134963,8.428625408108,7.796277273372,6.934301597164,6.321981683505,6.816067911466,6.846852278624,8.880715320881,5.012152873694,4.945308581711,2.123566786567,6.894692438453,6.235392977639,5.163925167951,2.304065206181,2.332923525863,2.94726514508,3.417425893027,2.318619431514,2.528651257625,2.753554247482,5.16412824176,5.516343877474,5.546048028001,3.573298199487,5.341787313326,5.410309874961,4.942453714674,0.558721798489,-0.208077029781,-1.163702302509,-0.783439242221,0.171304279694,-0.27712196365,-0.404390126693,-2.974167665776,1.116886491964,0.253094872467,1.415929523529,-0.91503128922,-0.526148225189,-0.039844481469,3.123385638521,0.538185734974,0.503975807406,1.69365111403,1.795502284947,1.362169603641,1.446382683704,3.509326798088,4.167555538883,3.730977326279,4.256255478974,3.843248845699,3.805898456264,3.920590810288,0.77082828772,2.712553693746,2.559003344591,3.132146843599,1.75894959833,2.024918634714,2.307807065917,5.639689034734,4.223155759589,4.743272746704,3.45560192523,4.912076542505,4.855665825858,4.495077894214,2.02559648195,1.992025448278,2.406715196098,2.729811350527,2.008465718136,2.141409761801,2.291445714298,1.178969735953,2.621098703146,1.327144596588,-0.525335612281,1.914746727786,1.718083286326,1.143584587194,-5.570609339102,-8.926009606032,-4.990507709541,-1.60070303473,-7.294406133775,-6.526282303173,-5.285744136818,4.505144974101,7.032403036638,4.844803896512,4.143494371847,5.780642877969,5.463506161772,5.118118143212,3.695275116435,2.764889866739,4.051585810487,4.128080382642,3.22015650187,3.500257996426,3.663007929501,4.810515126218,3.985150241659,2.748554185688,3.096040618945,4.390886151092,3.834651145611,3.642322679414,0.644003133678,2.092641055656,1.462445754879,1.205398295956,1.377651690898,1.406069871005,1.354091961517,2.641665227616,2.287271211682,2.835958041015,3.428232905453,2.46092001449,2.586681440171,2.804340128381,3.48066527709,3.002114848189,3.99242842473,2.710993234409,3.237012431013,3.490941461327,3.287991599331,2.997518872091,3.305866039743,2.063964552783,3.267562602071,3.15415590594,2.785918172135,2.910546460451,3.450546814148,1.90790798639,1.567071558524,1.607227601313,2.665750420926,2.297252419211,2.118085083732,1.581092056215,3.041289243525,2.517923165357,1.421365403457,2.318463899187,2.38488522601,2.135955525893,1.161604109789,-0.948021718774,-0.25712503135,,0.088757218834,-0.026573646397,
"D.21-D.31---Impuestos sobre los productos, netos",NA,NA,NA,NA,NA,NA,NA,5.315637182493,10.454975627132,13.401850387679,2.486509384491,7.883621183492,9.694554598017,7.764789589153,0.020314491155,-15.102108030321,-12.870708732499,-8.016053998529,-7.7160379816,-9.464832340426,-9.095957650277,-0.641138354134,8.206266244576,6.748539986416,10.316676476802,3.522772631472,4.575989306026,6.054993524272,2.111714288443,10.239482454263,10.780450175175,6.638131434541,6.109995956301,7.666584219063,7.390970988688,9.729939607533,5.677210668817,2.505327870839,-0.310361711094,7.658699349299,5.891488917521,4.241117574414,2.128851545288,4.314114616545,5.415899289162,5.177248782518,3.225124856486,3.95236835516,4.264088768916,3.755303724532,1.138215222351,6.157428488919,-2.681984244358,2.428547318959,3.683803823476,2.049583559825,4.334622867025,3.352991419732,-3.297499200899,-0.732500198503,3.843245038081,1.38210191419,0.864412839652,-5.51687847657,0.637227860882,1.982240266189,5.805428696864,-2.450845134896,-0.993454643826,0.644670549967,0.521186722366,0.651643064463,1.311505373774,2.955748066578,0.588238800369,0.833161314698,1.370801990315,5.066180626166,4.894875861827,4.371801445907,2.08874844664,4.97807773691,4.771798010517,4.081569253818,2.974303737069,3.559543988837,2.143904445119,3.721727743211,3.275057240113,2.891662744333,3.101112777088,7.598742737753,7.131554064756,7.771186613629,7.597526444864,7.35799436018,7.497024593403,7.522536804294,2.144844186235,1.985720566014,2.742567342003,-0.324638542468,2.063018587747,2.292255058698,1.627496905415,2.598015622202,4.896515229144,3.307853617377,3.706510849853,3.779068907533,3.619411112059,3.641111678821,-6.744261615822,-13.158541802501,-5.675924364937,0.010717610135,-10.0756421486,-8.589406093514,-6.445366229231,3.702322261601,9.279517727015,3.33626308867,0.867310782865,6.499640845082,5.396984875152,4.189792860443,4.465832858643,3.04432104553,3.459076485666,5.247721464438,3.734243923702,3.640204188094,4.054958018214,3.328594686922,1.117381001776,1.572230704719,0.066437006344,2.198149865296,1.984613462617,1.484033861809,-0.458169176488,1.655658999608,1.445718731052,1.025132739475,0.611060777223,0.894658523582,0.928232205222,6.057642819151,5.025475326739,4.932328849818,8.177965420257,5.530124579113,5.325897843436,6.060499502659,3.703467277309,5.227170067299,7.053015021334,7.346760648295,4.478474489248,5.354735751631,5.878061378973,7.67230491804,7.474421026093,7.186992093044,6.688051518755,7.57093316104,7.438149952413,7.238357794872,5.671232841587,4.760234282108,3.003439483769,1.970583572495,5.204966096793,4.445363796357,3.789577345961,2.06842139601,1.936927733347,2.690660158742,2.877784397635,2.001404898377,2.235938451846,2.403038957157,2.201668137021,0.406805392374,-0.31307348932,,1.287484371379,0.740438687472,
"B.1bV---Valor agregado bruto<C2,C3>",NA,NA,NA,NA,NA,NA,NA,3.262242950318,5.73361452172,5.013479810615,5.26513395151,4.508287023436,4.676513754258,4.827020443628,-1.547452879021,-8.817502111575,-7.31848504322,-6.839962784524,-5.255925327203,-5.944958615211,-6.174762306021,2.446827195357,7.884436842391,8.007070475796,8.947968353923,5.116297893698,6.06790712801,6.802156595496,4.270702768921,8.358545830505,7.679008466143,6.946494537813,6.330384361572,6.782452419807,6.825113944904,8.846958370484,4.985968590231,5.043954017641,2.223479543836,6.864471544656,6.249097855512,5.200987961953,2.311086507417,2.25440760036,2.849873273223,3.346975819402,2.282495400096,2.472105845866,2.69344007243,5.220483221064,5.693347007702,5.521326239103,3.828147500645,5.458949157975,5.479871625466,5.059340987877,0.409783628006,-0.34584250138,-1.076899935725,-0.785384447549,0.027873232255,-0.342834573436,-0.454187798224,-2.86995157061,1.13613158233,0.184332637021,1.248218710522,-0.852752053521,-0.507320483399,-0.067066028975,3.227133450568,0.53365600227,0.471286806612,1.643259372161,1.84366928606,1.383379167786,1.449409756307,3.448883238365,4.138483523914,3.704819667699,4.343915018149,3.798529947681,3.767382751103,3.914148479099,0.683942738843,2.678452398954,2.576056150068,3.108818020733,1.698527179945,1.990022259271,2.276007949501,5.56068408075,4.105053792032,4.619406142825,3.290738038455,4.813086669817,4.748380749428,4.372745263927,2.020694598164,1.992288915034,2.392562171702,2.856459038568,2.006204269131,2.135122047206,2.319083996566,1.120566407701,2.526020321615,1.243390933531,-0.695375344985,1.837419833154,1.638707929428,1.040322417691,-5.521599861747,-8.745063974134,-4.960934092798,-1.668321604906,-7.176848765233,-6.438473924498,-5.236564552084,4.538235472675,6.940982489882,4.909403112691,4.283317296444,5.751201319023,5.46627227877,5.156986220838,3.663768471026,2.753273025925,4.076577965815,4.081860953102,3.198956649597,3.494442509184,3.646748298188,4.871576861666,4.10471020552,2.797877344361,3.222505290222,4.481778870934,3.911637958463,3.732209616919,0.688749366292,2.110336464846,1.463138755516,1.212693042451,1.408733689069,1.426956900806,1.371443489191,2.504562318277,2.176882496741,2.749120304973,3.236383237349,2.337455714483,2.475393696149,2.67224895281,3.471412981099,2.909912568283,3.862956304515,2.514783944573,3.185514382418,3.413113703211,3.17945400047,2.802953715106,3.129239043656,1.840588556885,3.11596631738,2.968644352368,2.588004254891,2.724444983273,3.353743794035,1.781959180292,1.501154670924,1.590565777442,2.554332507802,2.201547617786,2.043050371357,1.55937230395,3.0914809274,2.509878701687,1.354330946152,2.332735665321,2.391666944023,2.123760713887,1.115017213913,-1.008907116114,-0.254514883635,,0.034973658783,-0.06144348586,
Actividades primarias,NA,NA,NA,NA,NA,NA,NA,-1.878,6.691,-7.379,2.473,2.453228121342,-0.77781129022,0.11455636836,-1.074,-6.115,9.898,3.862,-3.727272094592,0.452206522652,1.410336373277,10.364,4.48,-0.803,2.226,7.343555704908,4.609535990556,3.923685078227,0.095,3.111,-3.52,0.004,1.601965054182,-0.028094664852,-0.019035159435,4.842,0.758,9.069,-1.086,2.771040421727,4.705275396103,3.065450030242,10.355,-1.515,-3.053,-0.518,4.454208296228,2.052416769792,1.353831181637,-4.417,6.066,-4.55,6.111,0.496323982002,-1.037295769888,0.869340215903,-3.211,7.241,10.111,7.926,1.959381354302,4.348772434333,5.352470307045,2.565,-1.226,-0.77,-3.578,0.592793869941,0.171320483094,-0.906529002276,3.575,3.579,3.853,4.268,3.576705793711,3.661450798849,3.831187500692,6.887,0.861,-3.611,4.476,3.807891472601,1.530450652611,2.357661195601,-6.38,-5.297,4.471,-5.657,-5.842485014298,-2.836818503645,-3.645405151088,3.877,9.534,-1.472,11.76,6.701453668653,4.140236021802,6.279115428055,4.248,5.864,4.908,2.325,5.076254223632,5.026343862843,4.228916691016,-3.133,1.895,-1.882,2.137,-0.536547156222,-0.934864810075,-0.044641244089,-1.082,-1.469,-1.051,-4.262,-1.286675805754,-1.217485457983,-2.119135757534,-1.82,5.741,5.742,0.709,2.172435641445,3.220977833897,2.493493147671,-0.777,-12.522,0.295,-0.804,-7.195083123842,-4.94074933354,-3.763600079767,3.726,12.374,0.234,8.041,8.180272561862,5.657033716003,6.356487715186,0.737,3.629,1.273,2.988,2.284500267086,1.979890215151,2.280238122717,5.297,2.765,5.969,2.019,3.924283699079,4.535968643665,3.780653108164,5.315,1.513,0.054,1.516,3.276846745033,2.299591775512,2.06846946799,0.903,3.229,4.744,5.009,2.128314843061,2.904238935788,3.521713389113,5.259,2.717,1.449,3.874,3.905125944437,3.163668365824,3.374940769741,5.213,2.668,0.993,0.892,3.872801011717,3.01793162357,2.382138294098,1.467,-0.24,5.367,,0.57868102787,1.972196550183,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",NA,NA,NA,NA,NA,NA,NA,-1.878,6.691,-7.379,2.473,2.453228121342,-0.77781129022,0.11455636836,-1.074,-6.115,9.898,3.862,-3.727272094592,0.452206522652,1.410336373277,10.364,4.48,-0.803,2.226,7.343555704908,4.609535990556,3.923685078227,0.095,3.111,-3.52,0.004,1.601965054182,-0.028094664852,-0.019035159435,4.842,0.758,9.069,-1.086,2.771040421727,4.705275396103,3.065450030242,10.355,-1.515,-3.053,-0.518,4.454208296228,2.052416769792,1.353831181637,-4.417,6.066,-4.55,6.111,0.496323982002,-1.037295769888,0.869340215903,-3.211,7.241,10.111,7.926,1.959381354302,4.348772434333,5.352470307045,2.565,-1.226,-0.77,-3.578,0.592793869941,0.171320483094,-0.906529002276,3.575,3.579,3.853,4.268,3.576705793711,3.661450798849,3.831187500692,6.887,0.861,-3.611,4.476,3.807891472601,1.530450652611,2.357661195601,-6.38,-5.297,4.471,-5.657,-5.842485014298,-2.836818503645,-3.645405151088,3.877,9.534,-1.472,11.76,6.701453668653,4.140236021802,6.279115428055,4.248,5.864,4.908,2.325,5.076254223632,5.026343862843,4.228916691016,-3.133,1.895,-1.882,2.137,-0.536547156222,-0.934864810075,-0.044641244089,-1.082,-1.469,-1.051,-4.262,-1.286675805754,-1.217485457983,-2.119135757534,-1.82,5.741,5.742,0.709,2.172435641445,3.220977833897,2.493493147671,-0.777,-12.522,0.295,-0.804,-7.195083123842,-4.94074933354,-3.763600079767,3.726,12.374,0.234,8.041,8.180272561862,5.657033716003,6.356487715186,0.737,3.629,1.273,2.988,2.284500267086,1.979890215151,2.280238122717,5.297,2.765,5.969,2.019,3.924283699079,4.535968643665,3.780653108164,5.315,1.513,0.054,1.516,3.276846745033,2.299591775512,2.06846946799,0.903,3.229,4.744,5.009,2.128314843061,2.904238935788,3.521713389113,5.259,2.717,1.449,3.874,3.905125944437,3.163668365824,3.374940769741,5.213,2.668,0.993,0.892,3.872801011717,3.01793162357,2.382138294098,1.467,-0.24,5.367,,0.57868102787,1.972196550183,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura",NA,NA,NA,NA,NA,NA,NA,-2.085,14.164,-10.722,3.301,5.901806428217,0.971452708658,1.642553453074,-0.512,-8.883,24.88,5.509,-4.947579909634,2.874137035432,3.645456423273,13.331,6.426,-0.271,4.12,9.82369311196,6.610302573278,5.86828758742,1.194,6.094,-9.009,-1.568,3.605642922873,-0.150666658057,-0.566006079632,6.959,0.061,15.779,-3.225,3.481890782804,6.818808354155,3.904732729067,12.234,-3.873,-7.627,-1.359,4.383378221572,0.85096353339,0.253833632173,-8.951,8.03,-9.542,6.797,-1.329074356469,-3.541577064876,-0.792837191546,-5.183,9.124,15.925,11.99,1.847940741955,5.404342580478,7.289380410092,4.713,-2.732,-2.938,-5.65,0.793090275124,-0.24360281859,-1.858913038207,2.01,3.835,5.941,5.566,2.937187531136,3.749330915923,4.271110184545,10.537,1.079,-6.059,5.717,5.689388862623,2.44622449443,3.397229466417,-9.153,-9.07,8.41,-9.573,-9.112347295902,-4.676643629009,-6.132381359065,3.295,13.94,-4.948,17.574,8.515390099159,4.63924994777,8.34389532751,4.305,7.708,7.953,2.413,6.05729573264,6.553074746177,5.266319723977,-3.18,1.879,-5.02,4.106,-0.534571097658,-1.723026972667,0.039452052392,-3.28,-2.23,-5.006,-6.983,-2.717643798431,-3.303664902342,-4.461323200146,-4.577,7.264,11.978,-0.063,1.796770351509,4.35793461805,3.003498927517,-0.074,-18.998,-1.919,-2.705,-10.807803709931,-8.408520795964,-6.71305762393,4.281,18.001,1.011,13.627,11.348826277555,8.36075709506,9.993562896311,1.556,7.443,4.306,4.808,4.769910519759,4.644936764166,4.697302813696,6.997,2.546,9.007,1.709,4.505231165327,5.714189004071,4.430011443013,6.101,1.758,-2.484,0.693,3.715250342182,1.998427151837,1.590913488224,2.82,4.652,8.311,6.913,3.807483502124,4.999982679926,5.592056389092,7.215,3.456,0.102,4.421,5.172407401126,3.787663863113,3.986256594204,6.883,2.62,0.719,0.668,4.604143627337,3.580818590612,2.664241673714,1.407,-1.101,8.06,,0.091797977912,2.132912995441,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales",NA,NA,NA,NA,NA,NA,NA,-0.933,-3.699,-5.158,-1.883,-2.399246904413,-3.450066803278,-3.046314552181,-2.386,-1.066,-6.975,1.424,-1.695680382278,-3.670908169869,-2.342957445367,3.889,0.65,-2.766,-1.493,2.18428649629,0.395976618523,-0.115319400554,-1.446,-3.099,4.011,1.959,-2.302798430991,-0.093576502309,0.454427796237,2.558,3.239,1.78,3.032,2.908220722845,2.497379958552,2.642238206185,6.198,2.559,2.581,2.558,4.321323135661,3.691663466023,3.383247915876,3.755,3.006,1.309,4.735,3.375488299405,2.63581819922,3.20237416375,3.206,5.294,5.546,1.418,4.260957132775,4.714787120501,3.812040891974,0.752,1.61,3.897,2.315,1.18965371713,2.1534753077,2.19675836813,3.834,3.65,0.57,0.379,3.739682248545,2.592073679447,1.999259351872,3.33,0.832,-0.349,2.359,2.050878229285,1.199077500136,1.504771955449,0.114,1.805,0.311,1.354,0.96940207827,0.739130866504,0.902451128159,3.727,2.546,2.969,4.855,3.124632470572,3.070294841748,3.546795633713,2.667,3.639,3.382,1.021,3.160017615229,3.237137110968,2.637848777364,-0.253,1.186,2.05,0.601,0.480212222706,1.026763520975,0.913530468082,1.841,1.517,3.434,1.314,1.674935095041,2.293721044614,2.033741691807,1.686,1.951,-0.079,1.036,1.822058566604,1.146059166459,1.117034325189,1.174,-0.481,2.517,1.738,0.325385557979,1.095428063982,1.264517914824,2.35,4.173,-0.744,-0.083,3.277393422492,1.844608935232,1.335008176023,-0.828,-2.434,-2.233,-0.986,-1.652425963173,-1.854084334302,-1.627631129575,0.552,2.057,1.589,1.996,1.318298909046,1.411773750432,1.564970253813,1.512,1.391,2.511,1.472,1.450364363886,1.817828432592,1.726672340577,-0.383,-0.69,-0.897,0.221,-0.540363897606,-0.66470692103,-0.431923193077,0.884,0.966,3.313,3.005,0.925772165913,1.756721571883,2.086911546708,2.705,2.135,1.387,2.606,2.413499837508,2.050723733427,2.19901894432,2.633,3.26,3.28,,2.952954848323,3.06763965519,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113---Aprovechamiento forestal",NA,NA,NA,NA,NA,NA,NA,-7.762,0.003,3.487,17.202,-3.964110001077,-1.534729246435,3.005680362802,-4.761,-6.023,-5.565,-9.464,-5.403798125738,-5.458920636238,-6.563252294743,14.403,0.175,6.25,5.304,7.204209700904,6.877645869895,6.457224493107,0.571,9.921,3.966,10.015,4.991510751506,4.642483953699,6.06230841902,2.279,4.702,8.289,6.442,3.478416127053,5.104661323157,5.471180820187,9.937,6.837,3.232,-10.093,8.384503124213,6.589900814975,1.974643686374,12.26,4.93,2.514,10.138,8.640829995637,6.573996278062,7.443260008619,-14.57,-4.22,-4.762,-1.816,-9.634955494877,-8.053855395475,-6.494271726096,-9.006,-2.794,-6.522,-12.072,-5.86619945697,-6.086755402998,-7.658050383483,17.681,-1.462,-5.783,6.344,7.690362313617,3.182841403134,3.97309552255,-12.252,-4.386,-0.44,2.85,-8.495659044398,-6.034753821683,-3.763021884664,-13.015,-5.267,-1.473,8.955,-9.148725397881,-6.664325057697,-2.396219700825,12.068,8.387,-1.907,-12.274,10.152794434275,6.032341109391,0.448359952607,17.712,3.469,-4.91,9.048,10.419485486944,5.573929873956,6.499377498176,-15.919,3.097,5.899,-12.531,-6.795918975301,-3.181670008565,-5.731887676805,2.26,-8.913,1.08,-3.043,-3.668887969816,-2.190095938121,-2.406010555883,-8.387,2.361,-2.158,8.391,-2.993666993639,-2.724655905391,0.070440151685,-6.48,1.067,-1.423,1.205,-2.484033476981,-2.14058463501,-1.22930313562,6.615,3.704,0.946,-4.752,5.017806807687,3.690067414687,1.334026369515,-0.378,-4.198,-3.179,0.223,-2.448168133736,-2.680259530223,-1.918717379741,1.849,-0.525,4.343,-2.964,0.58571493648,1.772362018598,0.502754158947,8.094,2.24,0.541,2.348,5.013075366857,3.565000086169,3.250013870375,-4.35,2.322,9.271,11.975,-0.931372384565,2.275615583604,4.763699347152,14.744,11.095,7.315,0.146,12.812735973625,10.966617112185,7.999633058849,4.204,1.441,2.777,3.52,2.764309886736,2.768376138119,2.959538006305,-1.285,-2.031,-1.906,,-1.668501198362,-1.745749133593,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura",NA,NA,NA,NA,NA,NA,NA,0.19,-6.934,-0.499,11.936,-3.684338409979,-2.697761652331,1.104117144651,9.558,-0.956,26.885,11.801,4.032822537722,11.270010610604,11.422773507748,11.163,12.983,-0.802,0.002,12.07335766449,7.423368709535,5.281412471351,-8.022,0.722,2.01,-8.057,-3.611565956426,-1.736937646367,-3.469518961555,-16.319,-16.178,-18.005,-1.997,-16.244877842212,-16.854398998047,-12.974936463019,9.013,-8.305,13.546,2.545,-0.12213498982,4.544435088449,3.956523274887,-2.099,-0.063,0.935,2.183,-1.113359119508,-0.353808723091,0.381965080487,-5.49,8.477,3.169,10.299,1.345618925327,2.03051662849,4.47176913475,-5.938,5.862,-7.658,-6.199,0.243505799963,-2.757531758375,-3.830210767176,12.237,-0.532,22.853,12.558,5.173086947575,11.549552862523,11.856248670118,-2.799,5.01,-9.304,0.373,1.286575657589,-2.919906494623,-1.912505864239,-2.889,0.38,1.124,-13.933,-1.115970435596,-0.28483009892,-4.557843694364,6.619,-0.397,5.592,4.931,2.755668938887,3.822906609208,4.135713117193,2.692,-10.168,-10.79,5.934,-4.172304307638,-6.705127161095,-3.109307062388,-17.042,11.345,-7.949,-8.493,-2.838403224228,-4.708796747065,-5.885769763756,13.876,-7.261,2.642,2.732,1.756253256089,2.069460542604,2.269748515039,34.017,23.948,-3.174,3.176,28.755380512151,17.403816704277,13.081340635251,-32.717,-13.279,13.053,4.814,-22.937959736862,-12.385147859312,-7.617745225332,7.752,6.346,-1.539,-3.649,6.956157996142,3.742078165817,1.417575852381,2.728,-2.879,4.594,11.887,-0.4282966058,1.375155533147,4.515812566944,36.568,26.775,13.541,14.339,31.191182413534,24.652328055654,21.353832103299,34.877,-4.256,15.755,25.329,14.114254834721,14.668021009127,17.880698077733,-11.511,14.665,8.362,-0.196,0.141185901526,2.941588930426,1.936246218061,-1.851,-7.19,-4.426,-5.734,-4.572366128078,-4.519828013124,-4.900670109992,-6.872,12.46,-0.961,-14.277,2.71119110271,1.393244293573,-3.479451085237,-5.69,-13.668,-5.693,,-10.020632623961,-8.503482990271,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|115---Servicios relacionados con las actividades agropecuarias y forestales",NA,NA,NA,NA,NA,NA,NA,37.159,17.296,46.657,55.161,28.529024494459,34.633129800927,40.727661346468,-12.286,-13.288,76.944,65.927,-12.68340074819,20.191025094114,35.16262629415,13.908,44.337,19.446,-18.29,25.888843132532,22.409860763362,6.054474708171,-9.437,-28.932,-26.509,64.293,-18.237602471791,-22.595867467431,4.30609894948,6.635,6.671,49.885,-42.805,6.64882133227,28.278560976521,-6.387074330331,15.789,-5.042,-35.672,-19.449,7.613282615866,-17.68868923268,-18.213026351647,-31.045,-12.42,-27.885,-9.524,-24.594798316708,-26.097907614346,-21.234108420682,-7.229,-6.111,1.612,12.86,-6.778980937278,-3.038398394217,2.320647520011,-8.918,5.451,-52.026,-20.882,-3.09700480018,-25.954666610825,-24.068670624804,104.705,132.657,158.012,80.614,117.027998903064,129.432404916006,110.520002507945,-3.852,1.787,23.954,20.728,-1.186882888527,7.3703988385,11.809951665756,-1.771,-5.096,2.531,-2.349,-3.38935887022,-1.063154580134,-1.524473377443,25.691,8.446,-6.65,2.231,17.444298099662,7.63261912991,5.710246625424,-3.918,5.278,-12.078,8.021,0.143100575974,-4.173237805404,0.023568023713,-16.065,4.599,-8.882,4.216,-6.472091275968,-7.252972081638,-2.990010185719,6.012,-11.174,6.633,-21.483,-2.91027663898,0.127712260984,-8.5013244284,14.769,10.047,-3.429,24.835,12.526380100371,7.116891118359,13.187839165109,-7.958,-6.323,11.798,46.077,-7.19864171303,-1.392304237258,16.546433338515,-1.374,10.788,8.663,-3.901,4.32893341279,5.831034677682,1.221633163937,24.306,6.245,-11.431,-16.222,15.312896803938,5.797028526486,-4.104378211693,46.021,-0.762,-2.939,17.777,24.557471555837,16.36704070523,16.921054860543,-7.58,-0.451,-4.132,-20.556,-4.974289954871,-4.765048638921,-11.014312730088,-43.522,14.031,4.994,30.315,-21.48376236136,-14.861515505642,1.099594263095,18.005,2.038,14.318,64.215,9.125215485341,10.726737783789,35.085524181923,22.047,2.5,-1.892,5.86,11.882220444133,7.496153277786,6.590227541595,-10.946,-6.869,-3.23,,-9.003645617116,-7.325692305287,
