Estado,Sorteo,Fecha,Venta_Estado,ID
Aguascalientes,AVENTURATE 4,2015/12/04 00:00:00,553,1
Baja California,AVENTURATE 4,2015/12/04 00:00:00,1498,2
Baja California Sur,AVENTURATE 4,2015/12/04 00:00:00,953,3
Coahuila de Zaragoza,AVENTURATE 4,2015/12/04 00:00:00,4650,5
Colima,AVENTURATE 4,2015/12/04 00:00:00,1725,6
Chiapas,AVENTURATE 4,2015/12/04 00:00:00,389,7
Chihuahua,AVENTURATE 4,2015/12/04 00:00:00,2961,8
Durango,AVENTURATE 4,2015/12/04 00:00:00,1530,10
Guanajuato,AVENTURATE 4,2015/12/04 00:00:00,1961,11
Guerrero,AVENTURATE 4,2015/12/04 00:00:00,782,12
Hidalgo,AVENTURATE 4,2015/12/04 00:00:00,1042,13
Jalisco,AVENTURATE 4,2015/12/04 00:00:00,7227,14
Mexico,AVENTURATE 4,2015/12/04 00:00:00,7494,15
Michoacan de Ocampo,AVENTURATE 4,2015/12/04 00:00:00,1117,16
Morelos,AVENTURATE 4,2015/12/04 00:00:00,640,17
Nayarit,AVENTURATE 4,2015/12/04 00:00:00,1344,18
Nuevo Leon,AVENTURATE 4,2015/12/04 00:00:00,15441,19
Oaxaca,AVENTURATE 4,2015/12/04 00:00:00,404,20
Puebla,AVENTURATE 4,2015/12/04 00:00:00,1422,21
Queretaro,AVENTURATE 4,2015/12/04 00:00:00,2179,22
Quintana Roo,AVENTURATE 4,2015/12/04 00:00:00,661,23
San Luis Potosi,AVENTURATE 4,2015/12/04 00:00:00,1830,24
Sinaloa,AVENTURATE 4,2015/12/04 00:00:00,3630,25
Sonora,AVENTURATE 4,2015/12/04 00:00:00,3917,26
Tabasco,AVENTURATE 4,2015/12/04 00:00:00,1656,27
Tamaulipas,AVENTURATE 4,2015/12/04 00:00:00,8219,28
Veracruz de Ignacio de la Llave,AVENTURATE 4,2015/12/04 00:00:00,1704,30
Yucatan,AVENTURATE 4,2015/12/04 00:00:00,821,31
Zacatecas,AVENTURATE 4,2015/12/04 00:00:00,1955,32
Oficina Virtual,AVENTURATE 4,2015/12/04 00:00:00,4546,33
Aguascalientes,AVENTURATE 5,2016/04/21 00:00:00,863,1
Baja California,AVENTURATE 5,2016/04/21 00:00:00,1578,2
Baja California Sur,AVENTURATE 5,2016/04/21 00:00:00,1416,3
Coahuila de Zaragoza,AVENTURATE 5,2016/04/21 00:00:00,7333,5
Colima,AVENTURATE 5,2016/04/21 00:00:00,1993,6
Chiapas,AVENTURATE 5,2016/04/21 00:00:00,386,7
Chihuahua,AVENTURATE 5,2016/04/21 00:00:00,4161,8
