ï»¿Estado,Sorteo,Fecha,Venta_Estado,ID
Aguascalientes,EDUCATIVO 20,22/08/15 0:00,2927,1
Baja California,EDUCATIVO 20,22/08/15 0:00,6948,2
Baja California Sur,EDUCATIVO 20,22/08/15 0:00,7023,3
Coahuila de Zaragoza,EDUCATIVO 20,22/08/15 0:00,25211,5
Colima,EDUCATIVO 20,22/08/15 0:00,7886,6
Chiapas,EDUCATIVO 20,22/08/15 0:00,2823,7
Chihuahua,EDUCATIVO 20,22/08/15 0:00,13581,8
Durango,EDUCATIVO 20,22/08/15 0:00,5103,10
Guanajuato,EDUCATIVO 20,22/08/15 0:00,8073,11
Guerrero,EDUCATIVO 20,22/08/15 0:00,2240,12
Hidalgo,EDUCATIVO 20,22/08/15 0:00,4083,13
Jalisco,EDUCATIVO 20,22/08/15 0:00,49870,14
Mexico,EDUCATIVO 20,22/08/15 0:00,18852,15
Michoacan de Ocampo,EDUCATIVO 20,22/08/15 0:00,8434,16
Morelos,EDUCATIVO 20,22/08/15 0:00,2313,17
Nayarit,EDUCATIVO 20,22/08/15 0:00,4650,18
Nuevo Leon,EDUCATIVO 20,22/08/15 0:00,160425,19
Oaxaca,EDUCATIVO 20,22/08/15 0:00,1749,20
Puebla,EDUCATIVO 20,22/08/15 0:00,4104,21
Queretaro,EDUCATIVO 20,22/08/15 0:00,10467,22
Quintana Roo,EDUCATIVO 20,22/08/15 0:00,1667,23
San Luis Potosi,EDUCATIVO 20,22/08/15 0:00,5104,24
Sinaloa,EDUCATIVO 20,22/08/15 0:00,20810,25
Sonora,EDUCATIVO 20,22/08/15 0:00,22124,26
Tabasco,EDUCATIVO 20,22/08/15 0:00,8143,27
Tamaulipas,EDUCATIVO 20,22/08/15 0:00,43209,28
Veracruz de Ignacio de la Llave,EDUCATIVO 20,22/08/15 0:00,9627,30
Yucatan,EDUCATIVO 20,22/08/15 0:00,3033,31
Zacatecas,EDUCATIVO 20,22/08/15 0:00,4623,32
Oficina Virtual,EDUCATIVO 20,22/08/15 0:00,14037,33
Aguascalientes,EDUCATIVO 21,21/11/15 0:00,3001,1
Baja California,EDUCATIVO 21,21/11/15 0:00,6824,2
Baja California Sur,EDUCATIVO 21,21/11/15 0:00,6902,3
Coahuila de Zaragoza,EDUCATIVO 21,21/11/15 0:00,26489,5
Colima,EDUCATIVO 21,21/11/15 0:00,7639,6
Chiapas,EDUCATIVO 21,21/11/15 0:00,2862,7
Chihuahua,EDUCATIVO 21,21/11/15 0:00,14719,8
Durango,EDUCATIVO 21,21/11/15 0:00,5006,10
Guanajuato,EDUCATIVO 21,21/11/15 0:00,8090,11
Guerrero,EDUCATIVO 21,21/11/15 0:00,1990,12
Hidalgo,EDUCATIVO 21,21/11/15 0:00,3575,13
Jalisco,EDUCATIVO 21,21/11/15 0:00,51945,14
Mexico,EDUCATIVO 21,21/11/15 0:00,17870,15
Michoacan de Ocampo,EDUCATIVO 21,21/11/15 0:00,8232,16
Morelos,EDUCATIVO 21,21/11/15 0:00,2270,17
Nayarit,EDUCATIVO 21,21/11/15 0:00,4848,18
Nuevo Leon,EDUCATIVO 21,21/11/15 0:00,161189,19
Oaxaca,EDUCATIVO 21,21/11/15 0:00,2128,20
Puebla,EDUCATIVO 21,21/11/15 0:00,4009,21
Queretaro,EDUCATIVO 21,21/11/15 0:00,10578,22
Quintana Roo,EDUCATIVO 21,21/11/15 0:00,1632,23
San Luis Potosi,EDUCATIVO 21,21/11/15 0:00,5358,24
Sinaloa,EDUCATIVO 21,21/11/15 0:00,20303,25
Sonora,EDUCATIVO 21,21/11/15 0:00,21760,26
Tabasco,EDUCATIVO 21,21/11/15 0:00,8138,27
Tamaulipas,EDUCATIVO 21,21/11/15 0:00,42563,28
Veracruz de Ignacio de la Llave,EDUCATIVO 21,21/11/15 0:00,9680,30
Yucatan,EDUCATIVO 21,21/11/15 0:00,3183,31
Zacatecas,EDUCATIVO 21,21/11/15 0:00,4385,32
Oficina Virtual,EDUCATIVO 21,21/11/15 0:00,12832,33
Aguascalientes,EDUCATIVO 22,20/02/16 0:00,3507,1
Baja California,EDUCATIVO 22,20/02/16 0:00,6427,2
Baja California Sur,EDUCATIVO 22,20/02/16 0:00,6400,3
Coahuila de Zaragoza,EDUCATIVO 22,20/02/16 0:00,27125,5
Colima,EDUCATIVO 22,20/02/16 0:00,7833,6
Chiapas,EDUCATIVO 22,20/02/16 0:00,2952,7
Chihuahua,EDUCATIVO 22,20/02/16 0:00,14644,8
Durango,EDUCATIVO 22,20/02/16 0:00,5061,10
Guanajuato,EDUCATIVO 22,20/02/16 0:00,8694,11
Guerrero,EDUCATIVO 22,20/02/16 0:00,2386,12
Hidalgo,EDUCATIVO 22,20/02/16 0:00,3624,13
Jalisco,EDUCATIVO 22,20/02/16 0:00,50362,14
Mexico,EDUCATIVO 22,20/02/16 0:00,21837,15
Michoacan de Ocampo,EDUCATIVO 22,20/02/16 0:00,8535,16
Morelos,EDUCATIVO 22,20/02/16 0:00,2268,17
Nayarit,EDUCATIVO 22,20/02/16 0:00,5121,18
Nuevo Leon,EDUCATIVO 22,20/02/16 0:00,166344,19
Oaxaca,EDUCATIVO 22,20/02/16 0:00,2159,20
Puebla,EDUCATIVO 22,20/02/16 0:00,4487,21
Queretaro,EDUCATIVO 22,20/02/16 0:00,10786,22
Quintana Roo,EDUCATIVO 22,20/02/16 0:00,1899,23
San Luis Potosi,EDUCATIVO 22,20/02/16 0:00,5750,24
Sinaloa,EDUCATIVO 22,20/02/16 0:00,20940,25
Sonora,EDUCATIVO 22,20/02/16 0:00,21264,26
Tabasco,EDUCATIVO 22,20/02/16 0:00,7593,27
Tamaulipas,EDUCATIVO 22,20/02/16 0:00,43184,28
Veracruz de Ignacio de la Llave,EDUCATIVO 22,20/02/16 0:00,9961,30
Yucatan,EDUCATIVO 22,20/02/16 0:00,3263,31
Zacatecas,EDUCATIVO 22,20/02/16 0:00,4818,32
Oficina Virtual,EDUCATIVO 22,20/02/16 0:00,18371,33
Aguascalientes,EDUCATIVO 23,21/05/16 0:00,3671,1
Baja California,EDUCATIVO 23,21/05/16 0:00,6894,2
Baja California Sur,EDUCATIVO 23,21/05/16 0:00,7309,3
Coahuila de Zaragoza,EDUCATIVO 23,21/05/16 0:00,26692,5
Colima,EDUCATIVO 23,21/05/16 0:00,7923,6
Chiapas,EDUCATIVO 23,21/05/16 0:00,2713,7
Chihuahua,EDUCATIVO 23,21/05/16 0:00,16262,8
Durango,EDUCATIVO 23,21/05/16 0:00,4808,10
Guanajuato,EDUCATIVO 23,21/05/16 0:00,9173,11
Guerrero,EDUCATIVO 23,21/05/16 0:00,2467,12
Hidalgo,EDUCATIVO 23,21/05/16 0:00,3627,13
Jalisco,EDUCATIVO 23,21/05/16 0:00,58036,14
Mexico,EDUCATIVO 23,21/05/16 0:00,23397,15
Michoacan de Ocampo,EDUCATIVO 23,21/05/16 0:00,9152,16
Morelos,EDUCATIVO 23,21/05/16 0:00,2294,17
Nayarit,EDUCATIVO 23,21/05/16 0:00,5077,18
Nuevo Leon,EDUCATIVO 23,21/05/16 0:00,168649,19
Oaxaca,EDUCATIVO 23,21/05/16 0:00,2297,20
Puebla,EDUCATIVO 23,21/05/16 0:00,4934,21
Queretaro,EDUCATIVO 23,21/05/16 0:00,11304,22
Quintana Roo,EDUCATIVO 23,21/05/16 0:00,1709,23
San Luis Potosi,EDUCATIVO 23,21/05/16 0:00,6224,24
Sinaloa,EDUCATIVO 23,21/05/16 0:00,21468,25
Sonora,EDUCATIVO 23,21/05/16 0:00,23968,26
Tabasco,EDUCATIVO 23,21/05/16 0:00,7552,27
Tamaulipas,EDUCATIVO 23,21/05/16 0:00,41986,28
Veracruz de Ignacio de la Llave,EDUCATIVO 23,21/05/16 0:00,10482,30
Yucatan,EDUCATIVO 23,21/05/16 0:00,3597,31
Zacatecas,EDUCATIVO 23,21/05/16 0:00,4898,32
Oficina Virtual,EDUCATIVO 23,21/05/16 0:00,23440,33
Aguascalientes,EDUCATIVO 24,20/08/16 0:00,3996,1
Baja California,EDUCATIVO 24,20/08/16 0:00,7372,2
Baja California Sur,EDUCATIVO 24,20/08/16 0:00,7065,3
Coahuila de Zaragoza,EDUCATIVO 24,20/08/16 0:00,28024,5
Colima,EDUCATIVO 24,20/08/16 0:00,8433,6
Chiapas,EDUCATIVO 24,20/08/16 0:00,2457,7
Chihuahua,EDUCATIVO 24,20/08/16 0:00,16014,8
Durango,EDUCATIVO 24,20/08/16 0:00,5112,10
Guanajuato,EDUCATIVO 24,20/08/16 0:00,9002,11
Guerrero,EDUCATIVO 24,20/08/16 0:00,2145,12
Hidalgo,EDUCATIVO 24,20/08/16 0:00,3772,13
Jalisco,EDUCATIVO 24,20/08/16 0:00,60701,14
Mexico,EDUCATIVO 24,20/08/16 0:00,23948,15
Michoacan de Ocampo,EDUCATIVO 24,20/08/16 0:00,9506,16
Morelos,EDUCATIVO 24,20/08/16 0:00,2458,17
Nayarit,EDUCATIVO 24,20/08/16 0:00,5018,18
Nuevo Leon,EDUCATIVO 24,20/08/16 0:00,176735,19
Oaxaca,EDUCATIVO 24,20/08/16 0:00,2361,20
Puebla,EDUCATIVO 24,20/08/16 0:00,5577,21
Queretaro,EDUCATIVO 24,20/08/16 0:00,11473,22
Quintana Roo,EDUCATIVO 24,20/08/16 0:00,1958,23
San Luis Potosi,EDUCATIVO 24,20/08/16 0:00,6299,24
Sinaloa,EDUCATIVO 24,20/08/16 0:00,22770,25
Sonora,EDUCATIVO 24,20/08/16 0:00,22113,26
Tabasco,EDUCATIVO 24,20/08/16 0:00,6944,27
Tamaulipas,EDUCATIVO 24,20/08/16 0:00,41120,28
Veracruz de Ignacio de la Llave,EDUCATIVO 24,20/08/16 0:00,9384,30
Yucatan,EDUCATIVO 24,20/08/16 0:00,3559,31
Zacatecas,EDUCATIVO 24,20/08/16 0:00,5134,32
Oficina Virtual,EDUCATIVO 24,20/08/16 0:00,28572,33
Aguascalientes,EDUCATIVO 25,19/11/16 0:00,4323,1
Baja California,EDUCATIVO 25,19/11/16 0:00,7593,2
Baja California Sur,EDUCATIVO 25,19/11/16 0:00,7364,3
Coahuila de Zaragoza,EDUCATIVO 25,19/11/16 0:00,27186,5
Colima,EDUCATIVO 25,19/11/16 0:00,8838,6
Chiapas,EDUCATIVO 25,19/11/16 0:00,2195,7
Chihuahua,EDUCATIVO 25,19/11/16 0:00,16795,8
Durango,EDUCATIVO 25,19/11/16 0:00,5316,10
Guanajuato,EDUCATIVO 25,19/11/16 0:00,9126,11
Guerrero,EDUCATIVO 25,19/11/16 0:00,1988,12
Hidalgo,EDUCATIVO 25,19/11/16 0:00,3637,13
Jalisco,EDUCATIVO 25,19/11/16 0:00,61750,14
Mexico,EDUCATIVO 25,19/11/16 0:00,24837,15
Michoacan de Ocampo,EDUCATIVO 25,19/11/16 0:00,9975,16
Morelos,EDUCATIVO 25,19/11/16 0:00,2332,17
Nayarit,EDUCATIVO 25,19/11/16 0:00,5498,18
Nuevo Leon,EDUCATIVO 25,19/11/16 0:00,174736,19
Oaxaca,EDUCATIVO 25,19/11/16 0:00,2689,20
Puebla,EDUCATIVO 25,19/11/16 0:00,5532,21
Queretaro,EDUCATIVO 25,19/11/16 0:00,11625,22
Quintana Roo,EDUCATIVO 25,19/11/16 0:00,1866,23
San Luis Potosi,EDUCATIVO 25,19/11/16 0:00,6431,24
Sinaloa,EDUCATIVO 25,19/11/16 0:00,22312,25
Sonora,EDUCATIVO 25,19/11/16 0:00,22186,26
Tabasco,EDUCATIVO 25,19/11/16 0:00,7130,27
Tamaulipas,EDUCATIVO 25,19/11/16 0:00,40329,28
Veracruz de Ignacio de la Llave,EDUCATIVO 25,19/11/16 0:00,9448,30
Yucatan,EDUCATIVO 25,19/11/16 0:00,3420,31
Zacatecas,EDUCATIVO 25,19/11/16 0:00,4982,32
Oficina Virtual,EDUCATIVO 25,19/11/16 0:00,26350,33
Aguascalientes,EDUCATIVO 26,18/02/17 0:00,3975,1
Baja California,EDUCATIVO 26,18/02/17 0:00,7145,2
Baja California Sur,EDUCATIVO 26,18/02/17 0:00,7229,3
Coahuila de Zaragoza,EDUCATIVO 26,18/02/17 0:00,26780,5
Colima,EDUCATIVO 26,18/02/17 0:00,9085,6
Chiapas,EDUCATIVO 26,18/02/17 0:00,2335,7
Chihuahua,EDUCATIVO 26,18/02/17 0:00,16020,8
Durango,EDUCATIVO 26,18/02/17 0:00,4604,10
Guanajuato,EDUCATIVO 26,18/02/17 0:00,8536,11
Guerrero,EDUCATIVO 26,18/02/17 0:00,2070,12
Hidalgo,EDUCATIVO 26,18/02/17 0:00,3484,13
Jalisco,EDUCATIVO 26,18/02/17 0:00,58529,14
