Estado,Sorteo,Fecha,Venta_Estado,ID
Aguascalientes,MI SUENO 3,2015/07/18 00:00:00,2126,1
Baja California,MI SUENO 3,2015/07/18 00:00:00,3367,2
Baja California Sur,MI SUENO 3,2015/07/18 00:00:00,3389,3
Coahuila de Zaragoza,MI SUENO 3,2015/07/18 00:00:00,10834,5
Colima,MI SUENO 3,2015/07/18 00:00:00,2987,6
Chiapas,MI SUENO 3,2015/07/18 00:00:00,1351,7
Chihuahua,MI SUENO 3,2015/07/18 00:00:00,6706,8
Distrito Federal,MI SUENO 3,2015/07/18 00:00:00,10293,9
Durango,MI SUENO 3,2015/07/18 00:00:00,2624,10
Guanajuato,MI SUENO 3,2015/07/18 00:00:00,4164,11
Guerrero,MI SUENO 3,2015/07/18 00:00:00,1004,12
Hidalgo,MI SUENO 3,2015/07/18 00:00:00,1649,13
Jalisco,MI SUENO 3,2015/07/18 00:00:00,20212,14
Estado de Mexico,MI SUENO 3,2015/07/18 00:00:00,2334,15
Michoacan de Ocampo,MI SUENO 3,2015/07/18 00:00:00,3599,16
Morelos,MI SUENO 3,2015/07/18 00:00:00,1143,17
Nayarit,MI SUENO 3,2015/07/18 00:00:00,2054,18
Nuevo Leon,MI SUENO 3,2015/07/18 00:00:00,96184,19
Oaxaca,MI SUENO 3,2015/07/18 00:00:00,1177,20
Puebla,MI SUENO 3,2015/07/18 00:00:00,1889,21
Queretaro,MI SUENO 3,2015/07/18 00:00:00,6490,22
Quintana Roo,MI SUENO 3,2015/07/18 00:00:00,1032,23
San Luis Potosi,MI SUENO 3,2015/07/18 00:00:00,2832,24
Sinaloa,MI SUENO 3,2015/07/18 00:00:00,9867,25
Sonora,MI SUENO 3,2015/07/18 00:00:00,10548,26
Tabasco,MI SUENO 3,2015/07/18 00:00:00,4620,27
Tamaulipas,MI SUENO 3,2015/07/18 00:00:00,18879,28
Veracruz de Ignacio de la Llave,MI SUENO 3,2015/07/18 00:00:00,4639,30
Yucatan,MI SUENO 3,2015/07/18 00:00:00,1448,31
Zacatecas,MI SUENO 3,2015/07/18 00:00:00,1999,32
Oficina Virtual,MI SUENO 3,2015/07/18 00:00:00,11863,33
Aguascalientes,MI SUENO 4,2015/10/17 00:00:00,1919.4,1
Baja California,MI SUENO 4,2015/10/17 00:00:00,4037.8,2
Baja California Sur,MI SUENO 4,2015/10/17 00:00:00,3662,3
Coahuila de Zaragoza,MI SUENO 4,2015/10/17 00:00:00,11844,5
Colima,MI SUENO 4,2015/10/17 00:00:00,3205,6
Chiapas,MI SUENO 4,2015/10/17 00:00:00,1497,7
Chihuahua,MI SUENO 4,2015/10/17 00:00:00,7816.8,8
Distrito Federal,MI SUENO 4,2015/10/17 00:00:00,10412,9
Durango,MI SUENO 4,2015/10/17 00:00:00,2923.8,10
Guanajuato,MI SUENO 4,2015/10/17 00:00:00,4093,11
Guerrero,MI SUENO 4,2015/10/17 00:00:00,965,12
Hidalgo,MI SUENO 4,2015/10/17 00:00:00,1762,13
Jalisco,MI SUENO 4,2015/10/17 00:00:00,22302,14
Estado de Mexico,MI SUENO 4,2015/10/17 00:00:00,2556,15
Michoacan de Ocampo,MI SUENO 4,2015/10/17 00:00:00,3817,16
Morelos,MI SUENO 4,2015/10/17 00:00:00,1176,17
Nayarit,MI SUENO 4,2015/10/17 00:00:00,2072,18
Nuevo Leon,MI SUENO 4,2015/10/17 00:00:00,94844.6,19
Oaxaca,MI SUENO 4,2015/10/17 00:00:00,1250,20
Puebla,MI SUENO 4,2015/10/17 00:00:00,1943,21
Queretaro,MI SUENO 4,2015/10/17 00:00:00,6423,22
Quintana Roo,MI SUENO 4,2015/10/17 00:00:00,1015,23
San Luis Potosi,MI SUENO 4,2015/10/17 00:00:00,3036,24
Sinaloa,MI SUENO 4,2015/10/17 00:00:00,9582.6,25
Sonora,MI SUENO 4,2015/10/17 00:00:00,11815,26
Tabasco,MI SUENO 4,2015/10/17 00:00:00,4815,27
Tamaulipas,MI SUENO 4,2015/10/17 00:00:00,20166,28
Veracruz de Ignacio de la Llave,MI SUENO 4,2015/10/17 00:00:00,4907,30
Yucatan,MI SUENO 4,2015/10/17 00:00:00,1776,31
Zacatecas,MI SUENO 4,2015/10/17 00:00:00,2063,32
Oficina Virtual,MI SUENO 4,2015/10/17 00:00:00,14097,33
Aguascalientes,MI SUENO 5,2016/03/19 00:00:00,2345,1
Baja California,MI SUENO 5,2016/03/19 00:00:00,3425,2
Baja California Sur,MI SUENO 5,2016/03/19 00:00:00,3289,3
Coahuila de Zaragoza,MI SUENO 5,2016/03/19 00:00:00,11999,5
Colima,MI SUENO 5,2016/03/19 00:00:00,3332,6
Chiapas,MI SUENO 5,2016/03/19 00:00:00,1300,7
Chihuahua,MI SUENO 5,2016/03/19 00:00:00,8378,8
Distrito Federal,MI SUENO 5,2016/03/19 00:00:00,11364,9
Durango,MI SUENO 5,2016/03/19 00:00:00,2837,10
