Estado,Sorteo,Fecha,Venta_Estado,ID
Aguascalientes,TRADICIONAL 200,2015/12/19 00:00:00,131,1
Baja California,TRADICIONAL 200,2015/12/19 00:00:00,184,2
Baja California Sur,TRADICIONAL 200,2015/12/19 00:00:00,86,3
Coahuila de Zaragoza,TRADICIONAL 200,2015/12/19 00:00:00,442,5
Colima,TRADICIONAL 200,2015/12/19 00:00:00,50,6
Chiapas,TRADICIONAL 200,2015/12/19 00:00:00,50,7
Chihuahua,TRADICIONAL 200,2015/12/19 00:00:00,333,8
Durango,TRADICIONAL 200,2015/12/19 00:00:00,79,10
Guanajuato,TRADICIONAL 200,2015/12/19 00:00:00,236,11
Guerrero,TRADICIONAL 200,2015/12/19 00:00:00,52,12
Hidalgo,TRADICIONAL 200,2015/12/19 00:00:00,87,13
Jalisco,TRADICIONAL 200,2015/12/19 00:00:00,1020,14
Mexico,TRADICIONAL 200,2015/12/19 00:00:00,2075,15
Michoacan de Ocampo,TRADICIONAL 200,2015/12/19 00:00:00,195,16
Morelos,TRADICIONAL 200,2015/12/19 00:00:00,89,17
Nayarit,TRADICIONAL 200,2015/12/19 00:00:00,68,18
Nuevo Leon,TRADICIONAL 200,2015/12/19 00:00:00,2631,19
Oaxaca,TRADICIONAL 200,2015/12/19 00:00:00,71,20
Puebla,TRADICIONAL 200,2015/12/19 00:00:00,232,21
Queretaro,TRADICIONAL 200,2015/12/19 00:00:00,355,22
Quintana Roo,TRADICIONAL 200,2015/12/19 00:00:00,114,23
San Luis Potosi,TRADICIONAL 200,2015/12/19 00:00:00,198,24
Sinaloa,TRADICIONAL 200,2015/12/19 00:00:00,251,25
Sonora,TRADICIONAL 200,2015/12/19 00:00:00,354,26
Tabasco,TRADICIONAL 200,2015/12/19 00:00:00,207,27
Tamaulipas,TRADICIONAL 200,2015/12/19 00:00:00,2917,28
Veracruz de Ignacio de la Llave,TRADICIONAL 200,2015/12/19 00:00:00,188,30
Yucatan,TRADICIONAL 200,2015/12/19 00:00:00,144,31
Zacatecas,TRADICIONAL 200,2015/12/19 00:00:00,71,32
Oficina Virtual,TRADICIONAL 200,2015/12/19 00:00:00,14084,33
Aguascalientes,TRADICIONAL 201,2016/06/18 00:00:00,2356,1
Baja California,TRADICIONAL 201,2016/06/18 00:00:00,3928,2
Baja California Sur,TRADICIONAL 201,2016/06/18 00:00:00,3171,3
Coahuila de Zaragoza,TRADICIONAL 201,2016/06/18 00:00:00,13877,5
Colima,TRADICIONAL 201,2016/06/18 00:00:00,3933,6
Chiapas,TRADICIONAL 201,2016/06/18 00:00:00,1320,7
Chihuahua,TRADICIONAL 201,2016/06/18 00:00:00,8988,8
Durango,TRADICIONAL 201,2016/06/18 00:00:00,2770,10
Guanajuato,TRADICIONAL 201,2016/06/18 00:00:00,4248,11
Guerrero,TRADICIONAL 201,2016/06/18 00:00:00,974,12
Hidalgo,TRADICIONAL 201,2016/06/18 00:00:00,1651,13
Jalisco,TRADICIONAL 201,2016/06/18 00:00:00,19950,14
Mexico,TRADICIONAL 201,2016/06/18 00:00:00,13491,15
Michoacan de Ocampo,TRADICIONAL 201,2016/06/18 00:00:00,5238,16
